,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Kwame Brown,C,6-11,270,"March 10, 1982",United States,1,
1,35,Brian Cardinal,PF,6-8,245,"May 2, 1977",United States,2,Purdue
2,3,Juan Dixon,PG,6-3,164,"October 9, 1978",United States,R,Maryland
3,15,Anthony Goldwire,PG,6-1,182,"September 6, 1971",United States,4,Houston
4,0,Brendan Haywood,C,7-0,268,"November 27, 1979",United States,1,UNC
5,20,Larry Hughes,PG,6-5,184,"January 23, 1979",United States,4,Saint Louis
6,1,Jared Jeffries,SF,6-11,230,"November 25, 1981",United States,R,Indiana
7,23,Michael Jordan,SF,6-6,198,"February 17, 1963",United States,14,UNC
8,44,Christian Laettner,PF,6-11,235,"August 17, 1969",United States,10,Duke
9,10,Tyronn Lue,PG,6-0,175,"May 3, 1977",United States,4,Nebraska
10,34,Charles Oakley,C,6-8,225,"December 18, 1963",United States,17,Virginia Union University
11,2,Bryon Russell,SF,6-7,225,"December 31, 1970",United States,9,Cal State Long Beach
12,21,Bobby Simmons,SG,6-7,210,"June 2, 1980",United States,1,DePaul
13,42,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",United States,7,UNC
14,36,Etan Thomas,PF,6-9,256,"April 1, 1978",United States,1,Syracuse
15,55,Jahidi White,C,6-9,290,"February 19, 1976",United States,4,Georgetown
