,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Brandon Armstrong,SG,6-5,188,"June 16, 1980",United States,2,Pepperdine
1,31,Damone Brown,PF,6-9,200,"June 28, 1979",United States,2,Syracuse
2,35,Jason Collins,C,7-0,255,"December 2, 1978",United States,2,Stanford
3,44,Hubert Davis,SG,6-5,183,"May 17, 1970",United States,11,UNC
4,9,Anthony Goldwire,PG,6-1,182,"September 6, 1971",United States,5,Houston
5,12,Lucious Harris,PG,6-5,190,"December 18, 1970",United States,10,Cal State Long Beach
6,24,Richard Jefferson,SF,6-7,233,"June 21, 1980",United States,2,Arizona
7,5,Jason Kidd,PG,6-4,205,"March 23, 1973",United States,9,California
8,30,Kerry Kittles,SG,6-5,179,"June 12, 1974",United States,6,Villanova
9,6,Kenyon Martin,PF,6-9,234,"December 30, 1977",United States,3,Cincinnati
10,45,Mikki Moore,C,6-11,225,"November 4, 1975",United States,5,Nebraska
11,33,Alonzo Mourning,C,6-10,240,"February 8, 1970",United States,10,Georgetown
12,2,Doug Overton,PG,6-3,190,"August 3, 1969",United States,10,La Salle
13,9,Robert Pack,PG,6-2,180,"February 3, 1969",United States,12,USC
14,10,Zoran Planinic,SG,6-7,195,"September 12, 1982",Bosnia & Herzegovina,R,
15,54,Rodney Rogers,PF,6-7,235,"June 20, 1971",United States,10,Wake Forest
16,21,Brian Scalabrine,PF,6-9,241,"March 18, 1978",United States,2,USC
17,8,Tamar Slay,SG,6-8,215,"April 2, 1980",United States,1,Marshall
18,34,Aaron Williams,C,6-9,220,"October 2, 1971",United States,9,Xavier
