,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,21,Robert Archibald,PF,6-11,250,"March 29, 1980",United Kingdom,1,Illinois
1,3,Keith Bogans,SF,6-5,215,"May 12, 1980",United States,R,Kentucky
2,55,Andrew DeClercq,C,6-10,230,"February 1, 1973",United States,8,Florida
3,13,Derrick Dial,SG,6-4,184,"December 20, 1975",United States,3,Eastern Michigan
4,22,Reece Gaines,PG,6-6,205,"January 7, 1981",United States,R,Louisville
5,8,Pat Garrity,PF,6-9,238,"August 23, 1976",United States,5,Notre Dame
6,7,Gordan Giricek,SF,6-6,210,"June 20, 1977",Croatia,1,
7,0,Drew Gooden,PF,6-10,250,"September 24, 1981",United States,1,Kansas
8,4,Donnell Harvey,PF,6-8,220,"August 26, 1980",United States,3,Florida
9,5,Juwan Howard,PF,6-9,240,"February 7, 1973",United States,9,Michigan
10,34,Steven Hunter,C,7-0,220,"October 31, 1981",United States,2,DePaul
11,31,Britton Johnsen,C,6-10,210,"July 8, 1979",United States,R,Utah
12,10,Tyronn Lue,PG,6-0,175,"May 3, 1977",United States,5,Nebraska
13,1,Tracy McGrady,SG,6-8,210,"May 24, 1979",United States,6,
14,4,Lee Nailon,SF,6-9,238,"February 22, 1975",United States,3,"Butler County Community College, TCU"
15,27,Zaza Pachulia,C,6-11,270,"February 10, 1984",Georgia,R,
16,26,Desmond Penigar,PF,6-7,245,"July 16, 1981",United States,R,Utah State University
17,45,Sean Rooks,C,6-10,250,"September 9, 1969",United States,11,Arizona
18,2,DeShawn Stevenson,SF,6-5,210,"April 3, 1981",United States,3,
19,31,Rod Strickland,PG,6-3,175,"July 11, 1966",United States,15,DePaul
20,11,Shammond Williams,SG,6-1,201,"April 5, 1975",United States,5,UNC
