,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,55,Rafael Araujo,C,6-11,280,"August 12, 1980",Brazil,1,BYU
1,12,Andre Barrett,PG,5-10,172,"February 21, 1982",United States,1,Seton Hall
2,16,Matt Bonner,PF,6-10,235,"April 5, 1980",United States,1,Florida
3,4,Chris Bosh,C,6-11,235,"March 24, 1984",United States,2,Georgia Tech
4,8,Jose Calderon,SG,6-3,200,"September 28, 1981",Spain,R,
5,33,Antonio Davis,C,6-9,215,"October 31, 1968",United States,12,Texas-El Paso
6,14,Joey Graham,SF,6-7,225,"June 11, 1982",United States,R,"Central Florida, Oklahoma State"
7,13,Mike James,PG,6-2,188,"June 23, 1975",United States,4,Duquesne
8,2,Darrick Martin,PG,5-11,170,"March 6, 1971",United States,10,UCLA
9,24,Morris Peterson,SG,6-7,218,"August 26, 1977",United States,5,Michigan State
10,5,Jalen Rose,SF,6-8,210,"January 30, 1973",United States,11,Michigan
11,9,Pape Sow,C,6-10,250,"November 22, 1981",Senegal,1,Cal State Fullerton
12,31,Charlie Villanueva,PF,6-11,232,"August 24, 1984",United States,R,UConn
13,34,Aaron Williams,C,6-9,220,"October 2, 1971",United States,11,Xavier
14,20,Alvin Williams,PG,6-5,185,"August 6, 1974",United States,7,Villanova
15,17,Eric Williams,SF,6-8,220,"July 17, 1972",United States,10,"Vincennes University, Providence"
16,3,Loren Woods,C,7-1,245,"June 21, 1978",United States,4,"Wake Forest, Arizona"
