,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Tony Allen,SG,6-4,213,"January 11, 1982",United States,2,"Butler County Community College, Oklahoma State"
1,4,Ryan Gomes,PF,6-7,250,"September 1, 1982",United States,1,Providence
2,5,Gerald Green,SF,6-6,205,"January 26, 1986",United States,1,
3,7,Al Jefferson,C,6-10,289,"January 4, 1985",United States,2,
4,41,Michael Olowokandi,C,7-0,269,"April 3, 1975",Nigeria,8,University of the Pacific
5,43,Kendrick Perkins,C,6-10,270,"November 10, 1984",United States,3,
6,34,Paul Pierce,SG,6-7,235,"October 13, 1977",United States,8,Kansas
7,51,Kevinn Pinkney,PF,6-10,245,"October 20, 1983",United States,R,Nevada
8,0,Leon Powe,C,6-8,240,"January 22, 1984",United States,R,California
9,50,Theo Ratliff,C,6-10,225,"April 17, 1973",United States,11,Wyoming
10,12,Allan Ray,SG,6-2,190,"June 17, 1984",United States,R,Villanova
11,9,Rajon Rondo,PG,6-1,180,"February 22, 1986",United States,R,Kentucky
12,44,Brian Scalabrine,PF,6-9,241,"March 18, 1978",United States,5,USC
13,55,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",Spain,7,Miami University
14,30,Sebastian Telfair,PG,6-0,165,"June 9, 1985",United States,2,
15,13,Delonte West,SG,6-4,180,"July 26, 1983",United States,2,Saint Joseph's
