,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,15,Carmelo Anthony,SF,6-7,238,"May 29, 1984",us,3,Syracuse
1,25,Steve Blake,PG,6-3,172,"February 26, 1980",us,3,Maryland
2,11,Earl Boykins,PG,5-5,135,"June 2, 1976",us,8,Eastern Michigan
3,23,Marcus Camby,C,6-11,220,"March 22, 1974",us,10,UMass
4,4,Anthony Carter,PG,6-1,190,"June 16, 1975",us,7,Hawaii
5,5,Yakhouba Diawara,SG,6-7,225,"August 29, 1982",fr,R,Pepperdine
6,30,Reggie Evans,PF,6-8,245,"May 18, 1980",us,4,Iowa
7,31,Nene Hilario,C,6-11,250,"September 13, 1982",br,4,
8,32,Julius Hodge,SG,6-7,210,"November 18, 1983",us,1,NC State
9,3,Allen Iverson,SG,6-0,165,"June 7, 1975",us,10,Georgetown
10,"3, 8",DerMarr Johnson,SF,6-9,201,"May 5, 1980",us,5,Cincinnati
11,43,Linas Kleiza,PF,6-8,245,"January 3, 1985",lt,1,Missouri
12,6,Kenyon Martin,PF,6-9,234,"December 30, 1977",us,6,Cincinnati
13,24,Andre Miller,PG,6-3,200,"March 19, 1976",us,7,Utah
14,21,Eduardo Najera,PF,6-8,240,"July 11, 1976",mx,6,Oklahoma
15,7,Jamal Sampson,C,6-11,235,"May 15, 1983",us,4,California
16,1,JR Smith,SG,6-6,225,"September 9, 1985",us,2,
17,8,Joe Smith,PF,6-10,225,"July 26, 1975",us,11,Maryland
