,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,30,Earl Barron,C,7-0,250,"August 14, 1981",United States,1,Memphis
1,51,Michael Doleac,C,6-11,262,"June 15, 1977",United States,8,Utah
2,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",United States,3,Florida
3,22,Robert Hite,SG,6-2,184,"January 12, 1984",United States,R,Miami (FL)
4,6,Eddie Jones,SG,6-6,190,"October 20, 1971",United States,12,Temple
5,24,Jason Kapono,SF,6-8,213,"February 4, 1981",United States,3,UCLA
6,33,Alonzo Mourning,C,6-10,240,"February 8, 1970",United States,13,Georgetown
7,32,Shaquille O'Neal,C,7-1,325,"March 6, 1972",United States,14,LSU
8,20,Gary Payton,PG,6-4,180,"July 23, 1968",United States,16,Oregon State
9,42,James Posey,SF,6-8,215,"January 13, 1977",United States,7,Xavier
10,11,Chris Quinn,PG,6-2,185,"September 27, 1983",United States,R,Notre Dame
11,25,Wayne Simien,PF,6-9,255,"March 9, 1983",United States,1,Kansas
12,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",United States,3,Marquette
13,8,Antoine Walker,PF,6-8,224,"August 12, 1976",United States,10,Kentucky
14,55,Jason Williams,PG,6-1,190,"November 18, 1975",United States,8,"Marshall, Florida"
15,1,Dorell Wright,SF,6-9,205,"December 2, 1985",United States,2,
