,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,22,Corey Brewer,SF,6-9,186,"March 5, 1986",United States,R,Florida
1,7,Greg Buckner,SG,6-4,210,"September 16, 1976",United States,8,Clemson
2,51,Michael Doleac,C,6-11,262,"June 15, 1977",United States,9,Utah
3,4,Randy Foye,PG,6-4,213,"September 24, 1983",United States,1,Villanova
4,8,Ryan Gomes,PF,6-7,250,"September 1, 1982",United States,2,Providence
5,15,Gerald Green,SF,6-6,205,"January 26, 1986",United States,2,
6,55,Marko Jaric,SG,6-7,198,"October 12, 1978",Serbia,5,
7,25,Al Jefferson,C,6-10,289,"January 4, 1985",United States,3,
8,35,Mark Madsen,PF,6-9,240,"January 28, 1976",United States,7,Stanford
9,1,Rashad McCants,SG,6-4,207,"September 25, 1984",United States,2,UNC
10,42,Theo Ratliff,PF,6-10,225,"April 17, 1973",United States,12,Wyoming
11,32,Chris Richard,C,6-9,270,"December 25, 1984",United States,R,Florida
12,5,Craig Smith,PF,6-7,250,"November 10, 1983",United States,1,Boston College
13,30,Kirk Snyder,SF,6-6,225,"June 5, 1983",United States,3,Nevada
14,3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",United States,3,
15,24,Antoine Walker,PF,6-8,224,"August 12, 1976",United States,11,Kentucky
