,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,3,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",United States,11,California
1,10,Mike Bibby,PG,6-1,190,"May 13, 1978",United States,9,Arizona
2,8,Quincy Douby,PG,6-3,175,"May 16, 1984",United States,1,Rutgers University
3,32,Francisco Garcia,SF,6-7,195,"December 31, 1981",Dominican Republic,2,Louisville
4,5,Orien Greene,SG,6-4,208,"February 4, 1982",United States,2,"Florida, Louisiana"
5,31,Spencer Hawes,C,7-1,245,"April 28, 1988",United States,R,Washington
6,5,Anthony Johnson,PG,6-3,190,"October 2, 1974",United States,10,College of Charleston
7,7,Dahntay Jones,SG,6-6,225,"December 27, 1980",United States,4,"Rutgers University, Duke"
8,23,Kevin Martin,SG,6-7,199,"February 1, 1983",United States,3,Western Carolina University
9,52,Brad Miller,C,6-11,244,"April 12, 1976",United States,9,Purdue
10,33,Mikki Moore,PF,6-11,225,"November 4, 1975",United States,9,Nebraska
11,15,John Salmons,SG,6-7,210,"December 12, 1979",United States,5,Miami (FL)
12,9,Kenny Thomas,PF,6-7,261,"July 25, 1977",United States,8,New Mexico
13,19,Beno Udrih,PG,6-3,205,"July 5, 1982",Slovenia,3,
14,13,Darryl Watkins,C,6-11,258,"November 8, 1984",United States,R,Syracuse
15,30,Justin Williams,C,6-10,225,"May 12, 1984",United States,1,Wyoming
16,22,Shelden Williams,PF,6-9,250,"October 21, 1983",United States,1,Duke
17,93,Metta World Peace,SF,6-7,260,"November 13, 1979",United States,8,St. John's
18,42,Lorenzen Wright,C,6-11,225,"November 4, 1975",United States,11,Memphis
