,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"12    M. Woodson (53-29)
Name: Coaches, dtype: object","12    53
Name: W, dtype: int64-12    29
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"12    L. Frank (0-16), T. Barrise (0-2), K. Vandeweg...
Name: Coaches, dtype: object","12    12
Name: W, dtype: int64-12    70
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"12    D. Rivers (50-32)
Name: Coaches, dtype: object","12    50
Name: W, dtype: int64-12    32
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"12    L. Brown (44-38)
Name: Coaches, dtype: object","12    44
Name: W, dtype: int64-12    38
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"12    V. Del Negro (41-41)
Name: Coaches, dtype: object","12    41
Name: W, dtype: int64-12    41
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"12    M. Brown (61-21)
Name: Coaches, dtype: object","12    61
Name: W, dtype: int64-12    21
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"12    R. Carlisle (55-27)
Name: Coaches, dtype: object","12    55
Name: W, dtype: int64-12    27
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"12    G. Karl (53-29)
Name: Coaches, dtype: object","12    53
Name: W, dtype: int64-12    29
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"12    J. Kuester (27-55)
Name: Coaches, dtype: object","12    27
Name: W, dtype: int64-12    55
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"12    D. Nelson (26-56)
Name: Coaches, dtype: object","12    26
Name: W, dtype: int64-12    56
Name: L, dtype: int64","San Francisco, California",35,6
