,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Rafer Alston,PG,6-2,171,"July 24, 1976",United States,9,Fresno State
1,17,Brent Barry,SG,6-6,185,"December 31, 1971",United States,13,Oregon State
2,31,Shane Battier,SG,6-8,220,"September 9, 1978",United States,7,Duke
3,0,Aaron Brooks,PG,6-0,161,"January 14, 1985",United States,1,Oregon
4,43,Brian Cook,PF,6-9,234,"December 4, 1980",United States,5,Illinois
5,15,Joey Dorsey,PF,6-8,268,"December 16, 1983",United States,R,Memphis
6,44,Chuck Hayes,C,6-6,240,"June 11, 1983",United States,3,Kentucky
7,2,Luther Head,PG,6-3,185,"November 26, 1982",United States,3,Illinois
8,14,Carl Landry,PF,6-9,248,"September 19, 1983",United States,1,"Vincennes University, Purdue"
9,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",United States,2,Villanova
10,1,Tracy McGrady,SG,6-8,210,"May 24, 1979",United States,11,
11,11,Yao Ming,C,7-6,310,"September 12, 1980",China,6,
12,55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",Congo - Kinshasa,17,Georgetown
13,4,Luis Scola,PF,6-9,240,"April 30, 1980",Argentina,1,
14,13,Von Wafer,SG,6-5,210,"July 21, 1985",United States,3,Florida State
15,8,James White,SF,6-7,200,"October 21, 1982",United States,1,"Florida, Cincinnati"
16,96,Metta World Peace,SF,6-7,260,"November 13, 1979",United States,9,St. John's
