,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,3,Alex Acker,SG,6-5,185,"January 21, 1983",United States,1,Pepperdine
1,23,Marcus Camby,C,6-11,220,"March 22, 1974",United States,12,UMass
2,25,Mardy Collins,PG,6-6,220,"August 4, 1984",United States,2,Temple
3,1,Baron Davis,PG,6-3,209,"April 13, 1979",United States,9,UCLA
4,40,Paul Davis,PF,6-11,270,"July 21, 1984",United States,2,Michigan State
5,31,Ricky Davis,SG,6-6,195,"September 23, 1979",United States,10,Iowa
6,10,Eric Gordon,SG,6-3,215,"December 25, 1988",United States,R,Indiana
7,6,Jason Hart,PG,6-3,185,"April 29, 1978",United States,7,Syracuse
8,2,Fred Jones,SF,6-4,210,"March 11, 1979",United States,6,Oregon
9,9,DeAndre Jordan,C,6-11,265,"July 21, 1988",United States,R,Texas A&M
10,35,Chris Kaman,C,7-0,265,"April 28, 1982",United States,5,Central Michigan University
11,5,Cuttino Mobley,SG,6-4,190,"September 1, 1975",United States,10,Rhode Island
12,20,Steve Novak,PF,6-10,225,"June 13, 1983",United States,2,Marquette
13,50,Zach Randolph,PF,6-9,250,"July 16, 1981",United States,7,Michigan State
14,34,Cheikh Samb,C,7-1,245,"October 22, 1984",Senegal,1,
15,8,Brian Skinner,PF,6-9,255,"May 19, 1976",United States,10,Baylor
16,4,Mike Taylor,PG,6-2,165,"January 21, 1986",United States,R,Iowa State
17,2,Tim Thomas,PF,6-10,230,"February 26, 1977",United States,11,Villanova
18,12,Al Thornton,SF,6-8,220,"December 7, 1983",United States,1,Florida State
