,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Hilton Armstrong,C,6-11,235,"November 11, 1984",United States,2,UConn
1,40,Ryan Bowen,SF,6-7,215,"November 20, 1975",United States,8,Iowa
2,23,Devin Brown,SG,6-5,220,"December 30, 1978",United States,6,Texas-San Antonio
3,45,Rasual Butler,SF,6-7,215,"May 23, 1979",United States,6,La Salle
4,6,Tyson Chandler,C,7-0,235,"October 2, 1982",United States,7,
5,50,Antonio Daniels,PG,6-4,195,"March 19, 1975",United States,11,Bowling Green
6,33,Melvin Ely,C,6-10,260,"May 2, 1978",United States,6,Fresno State
7,5,Mike James,PG,6-2,188,"June 23, 1975",United States,7,Duquesne
8,4,Sean Marks,C,6-10,250,"August 23, 1975",New Zealand,8,California
9,3,Chris Paul,PG,6-0,175,"May 6, 1985",United States,3,Wake Forest
10,9,Morris Peterson,SG,6-7,218,"August 26, 1977",United States,8,Michigan State
11,41,James Posey,SG,6-8,215,"January 13, 1977",United States,9,Xavier
12,16,Peja Stojakovic,SF,6-10,229,"June 9, 1977",Croatia,10,
13,30,David West,PF,6-9,250,"August 29, 1980",United States,5,Xavier
14,32,Julian Wright,SF,6-8,225,"May 20, 1987",United States,1,Kansas
