,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,17,Lou Amundson,PF,6-9,220,"December 7, 1982",United States,3,UNLV
1,10,Leandro Barbosa,PG,6-3,194,"November 28, 1982",Brazil,6,
2,55,Earl Clark,PF,6-10,225,"January 17, 1988",United States,R,Louisville
3,20,Jarron Collins,C,6-11,255,"December 2, 1978",United States,8,Stanford
4,2,Goran Dragic,PG,6-3,190,"May 6, 1986",Slovenia,1,
5,3,Jared Dudley,SF,6-6,237,"July 10, 1985",United States,2,Boston College
6,8,Channing Frye,C,7-0,255,"May 17, 1983",United States,4,Arizona
7,32,Taylor Griffin,SF,6-7,238,"April 18, 1986",United States,R,Oklahoma
8,33,Grant Hill,SF,6-8,225,"October 5, 1972",United States,14,Duke
9,21,Dwayne Jones,PF,6-11,250,"June 9, 1983",United States,4,Saint Joseph's
10,15,Robin Lopez,C,7-0,281,"April 1, 1988",United States,1,Stanford
11,13,Steve Nash,PG,6-3,195,"February 7, 1974",South Africa,13,Santa Clara
12,23,Jason Richardson,SG,6-6,220,"January 20, 1981",United States,8,Michigan State
13,1,Amar'e Stoudemire,PF,6-10,245,"November 16, 1982",United States,7,
14,29,Alando Tucker,SF,6-6,205,"February 11, 1984",United States,2,Wisconsin
