,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,45,Cole Aldrich,C,6-11,250,"October 31, 1988",United States,R,Kansas
1,4,Nick Collison,C,6-10,255,"October 26, 1980",United States,6,Kansas
2,14,Daequan Cook,SG,6-5,205,"April 28, 1987",United States,3,Ohio State
3,35,Kevin Durant,SF,6-10,240,"September 29, 1988",United States,3,Texas
4,22,Jeff Green,PF,6-8,235,"August 28, 1986",United States,3,Georgetown
5,13,James Harden,SG,6-5,220,"August 26, 1989",United States,1,Arizona State
6,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",Congo - Brazzaville,1,
7,7,Royal Ivey,SG,6-3,200,"December 20, 1981",United States,6,Texas
8,12,Nenad Krstic,C,7-0,240,"July 25, 1983",Serbia,6,
9,6,Eric Maynor,PG,6-3,175,"June 11, 1987",United States,1,VCU
10,8,Nazr Mohammed,C,6-10,221,"September 5, 1977",United States,12,Kentucky
11,23,Byron Mullens,PF,7-0,275,"February 14, 1989",United States,1,Ohio State
12,5,Kendrick Perkins,C,6-10,270,"November 10, 1984",United States,7,
13,42,Morris Peterson,SG,6-7,218,"August 26, 1977",United States,10,Michigan State
14,3,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,5,Washington
15,2,Thabo Sefolosha,SG,6-6,215,"May 2, 1984",Switzerland,4,
16,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",United States,2,UCLA
17,3,DJ White,PF,6-9,251,"August 31, 1986",United States,2,Indiana
