,Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1,Jeff Adrien,PF,24,GSW,23,0,8.5,1.0,2.3,.426,0.0,0.0,,1.0,2.3,.426,.426,0.5,0.8,.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,196,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,,0.1,0.1,0.2,.051,,-3.3,-2.0,-5.3,-0.2
1,2,Arron Afflalo,SG,25,DEN,69,69,33.7,4.5,9.1,.498,1.5,3.6,.423,3.0,5.5,.546,.581,2.0,2.4,.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,,4.8,1.4,6.2,.128,,1.7,-0.3,1.4,2.0
2,3,Maurice Ager,SG,26,MIN,4,0,7.3,1.5,2.8,.545,0.8,1.0,.750,0.8,1.8,.429,.682,0.0,0.0,,0.0,0.5,0.5,0.3,0.3,0.0,1.0,1.0,3.8,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-0.9,0.2,-0.7,0.0
3,4,Alexis Ajinca,C,22,TOT,34,2,9.875,1.725,3.875,0.44,0.375,0.975,0.36,1.375,2.9,0.47,0.48,0.4,0.5,0.71,0.5,1.75,2.25,0.275,0.3,0.575,0.5,2.1,4.175,236.25,12.25,0.5,0.252,0.132,6.1,21.12,13.52,4.72,1.75,4.33,10.35,21.18,,0.0,0.225,0.225,0.055,,-3.7,0.025,-3.725,-0.1
4,5,Solomon Alabi,C,22,TOR,12,0,4.9,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.0,0.2,.000,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0.0,-0.2,-0.142,,-6.0,-2.9,-8.9,-0.1
5,6,Cole Aldrich,C,22,OKC,18,0,7.9,0.4,0.8,.533,0.0,0.0,,0.4,0.8,.533,.533,0.1,0.2,.500,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,.066,,-5.6,1.6,-4.0,-0.1
6,7,LaMarcus Aldridge,PF,25,POR,81,81,39.6,8.7,17.5,.500,0.0,0.3,.174,8.7,17.2,.505,.501,4.3,5.5,.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,.166,,2.6,-0.5,2.1,3.4
7,8,Malik Allen,PF,32,ORL,18,0,9.9,0.6,1.7,.355,0.0,0.0,,0.6,1.7,.355,.355,0.1,0.1,.500,0.7,1.1,1.8,0.2,0.1,0.2,0.2,1.7,1.3,178,3.3,.361,.000,.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,,-0.1,0.2,0.2,.046,,-5.8,0.5,-5.4,-0.2
8,9,Ray Allen*,SG,35,BOS,80,80,36.1,6.0,12.2,.491,2.1,4.7,.444,3.9,7.5,.520,.577,2.4,2.7,.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5,2890,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,,5.8,4.2,10.0,.166,,2.3,0.6,2.9,3.6
9,10,Tony Allen,SG,29,MEM,72,31,20.8,3.5,6.8,.510,0.1,0.3,.174,3.4,6.5,.527,.514,1.9,2.5,.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,1494,18.3,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,,2.0,2.7,4.7,.152,,0.1,3.5,3.6,2.1
10,11,Al-Farouq Aminu,SF,20,LAC,81,14,17.9,2.0,5.0,.394,0.6,1.8,.315,1.4,3.2,.437,.450,1.1,1.5,.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,1452,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,,-0.8,1.4,0.7,.022,,-2.7,-0.1,-2.8,-0.3
11,12,Lou Amundson,PF,28,GSW,46,7,15.0,1.8,4.0,.454,0.0,0.0,,1.8,4.0,.454,.454,0.7,1.9,.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,4.3,691,11.5,.452,.000,.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,,0.2,0.5,0.6,.044,,-3.1,-1.4,-4.5,-0.4
12,13,Chris Andersen,C,32,DEN,45,0,16.3,1.8,3.0,.599,0.0,0.0,.000,1.8,3.0,.603,.599,1.9,3.0,.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,732,19.0,.636,.007,.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,,1.9,1.2,3.2,.207,,1.2,1.8,3.0,0.9
13,14,David Andersen,PF,30,TOT,40,0,9.575,1.425,3.125,0.46,0.225,0.575,0.35,1.25,2.525,0.49,0.49,0.35,0.55,0.64,0.5,1.65,2.15,0.325,0.15,0.225,0.575,1.0,3.475,242.25,10.625,0.51,0.189,0.184,6.4,20.98,13.55,5.47,0.68,1.98,14.45,19.2,,-0.1,0.25,0.175,0.03,,-3.0,-0.7,-3.675,-0.1
14,15,James Anderson,SF,21,SAS,26,2,11.0,1.2,3.1,.383,0.7,1.8,.391,0.5,1.3,.371,.494,0.5,0.7,.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,286,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,.051,,-1.1,-0.6,-1.7,0.0
15,16,Ryan Anderson,PF,22,ORL,64,14,22.3,3.5,8.2,.430,2.1,5.3,.393,1.4,2.9,.500,.558,1.5,1.8,.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,1424,19.0,.591,.650,.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,,4.0,2.5,6.4,.216,,4.2,0.4,4.6,2.4
16,17,Carmelo Anthony,SF,26,TOT,77,77,35.9,8.95,19.65,0.46,1.5,3.75,0.39,7.475,15.875,0.47,0.49,6.425,7.55,0.85,1.5,5.575,7.075,2.925,0.9,0.6,2.575,3.05,25.85,1619.75,22.125,0.56,0.191,0.384,4.95,17.65,11.35,14.9,1.25,1.2,10.05,31.62,,3.35,1.4,4.75,0.145,,3.7,-1.4,2.275,1.65
17,18,Joel Anthony,C,28,MIA,75,11,19.5,0.7,1.3,.535,0.0,0.0,,0.7,1.3,.535,.535,0.6,1.0,.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0,1463,7.3,.583,.000,.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,,1.2,2.1,3.3,.107,,-3.2,1.6,-1.6,0.2
18,19,Gilbert Arenas,PG,29,TOT,70,16,25.975,3.9,10.65,0.36,1.4,4.75,0.29,2.525,5.9,0.42,0.43,1.75,2.25,0.78,0.3,2.4,2.7,3.975,1.075,0.325,2.575,2.725,11.025,1165.5,10.5,0.47,0.447,0.209,1.48,10.78,6.15,25.1,2.15,0.9,18.3,24.57,,-1.2,1.5,0.325,0.013,,-2.4,-0.225,-2.6,-0.2
19,20,Trevor Ariza,SF,25,NOH,75,75,34.7,4.0,10.2,.398,1.1,3.6,.303,2.9,6.5,.450,.451,1.8,2.6,.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11.0,2600,11.3,.487,.356,.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,,-0.4,3.8,3.4,.062,,-1.7,1.3,-0.4,1.0
20,21,Hilton Armstrong,C,26,TOT,53,2,7.95,0.625,1.25,0.49,0.05,0.1,0.71,0.55,1.175,0.47,0.52,0.25,0.7,0.38,0.6,1.475,2.025,0.275,0.325,0.4,0.425,1.25,1.55,263.0,9.4,0.48,0.067,0.615,7.38,21.77,14.55,5.83,2.0,4.08,19.95,11.43,,-0.1,0.3,0.275,0.049,,-4.025,1.475,-2.575,-0.1
21,22,Carlos Arroyo,PG,31,TOT,64,43,16.05,1.375,3.45,0.38,0.375,0.75,0.52,1.025,2.7,0.36,0.43,0.65,0.75,0.86,0.4,1.225,1.55,1.85,0.4,0.0,1.0,0.925,3.8,640.0,7.975,0.49,0.202,0.251,3.35,8.75,6.2,17.08,1.4,0.05,22.73,14.22,,0.225,0.65,0.875,0.044,,-3.0,0.325,-2.625,-0.075
