,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,14,DJ Augustin,PG,5-11,183,"November 10, 1987",United States,3,Texas
1,0,Bismack Biyombo,C,6-8,255,"August 28, 1992",Congo - Kinshasa,R,
2,4,Derrick Brown,SF,6-7,225,"September 8, 1987",United States,2,Xavier
3,33,Matt Carroll,SG,6-6,212,"August 28, 1980",United States,8,Notre Dame
4,32,Boris Diaw,PF,6-8,250,"April 16, 1982",France,8,
5,7,DeSagana Diop,C,7-0,300,"January 30, 1982",Senegal,10,
6,15,Gerald Henderson,SG,6-5,215,"December 9, 1987",United States,2,Duke
7,11,Cory Higgins,PG,6-5,180,"June 14, 1989",United States,R,Colorado
8,50,Corey Maggette,SF,6-6,218,"November 12, 1979",United States,12,Duke
9,9,Jamario Moon,SF,6-8,205,"June 13, 1980",United States,4,Meridian Community College
10,22,Byron Mullens,C,7-0,275,"February 14, 1989",United States,2,Ohio State
11,21,Eduardo Najera,PF,6-8,240,"July 11, 1976",Mexico,11,Oklahoma
12,12,Tyrus Thomas,PF,6-9,215,"August 17, 1986",United States,5,LSU
13,1,Kemba Walker,PG,6-0,184,"May 8, 1990",United States,R,UConn
14,8,DJ White,PF,6-9,251,"August 31, 1986",United States,3,Indiana
15,55,Reggie Williams,SF,6-6,205,"September 14, 1986",United States,2,Virginia Military Institute
