,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA,Arena,Attend.,Attend./G
0,Chicago Bulls,27.1,50.0,16.0,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,United Center,731326,22161
1,San Antonio Spurs,27.5,50.0,16.0,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,0.489,12.9,76.0,0.168,AT&T Center,607095,18397
2,Oklahoma City Thunder,25.1,47.0,19.0,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,0.516,15.3,27.8,0.269,0.465,13.0,72.1,0.207,Chesapeake Energy Arena,600699,18203
3,Miami Heat,28.3,46.0,20.0,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,AmericanAirlines Arena,657855,19935
4,Philadelphia 76ers,24.9,35.0,31.0,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,Wells Fargo Center,577597,17503
5,Atlanta Hawks,27.9,40.0,26.0,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,Philips Arena,501593,15200
6,Indiana Pacers,26.3,42.0,24.0,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,Bankers Life Fieldhouse,467561,14169
7,New York Knicks,26.3,36.0,30.0,41,25,3.2,-0.81,2.39,104.4,101.0,3.4,93.2,0.306,0.288,0.533,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,Madison Square Garden (IV),652179,19763
8,Denver Nuggets,26.6,38.0,28.0,39,27,2.88,0.29,3.16,109.2,106.2,3.0,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,Pepsi Center,561966,17029
9,Boston Celtics,29.3,39.0,27.0,39,27,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,TD Garden,614592,18624
10,Los Angeles Clippers,27.3,40.0,26.0,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237,19219
11,Memphis Grizzlies,25.6,41.0,25.0,38,28,2.02,0.42,2.43,104.0,101.8,2.2,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,FedEx Forum,518446,15710
12,Los Angeles Lakers,29.7,41.0,25.0,36,30,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,STAPLES Center,626901,18997
13,Dallas Mavericks,31.3,36.0,30.0,35,31,0.95,0.83,1.78,103.3,102.3,1.0,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,American Airlines Center,671050,20335
14,Orlando Magic,27.5,37.0,29.0,35,31,0.79,-0.33,0.46,105.0,104.1,0.9,89.0,0.292,0.346,0.533,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,Amway Center,623587,18897
15,Utah Jazz,25.6,36.0,30.0,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,EnergySolutions Arena,637124,19307
16,Milwaukee Bucks,26.2,31.0,35.0,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,Bradley Center,485717,14719
17,Houston Rockets,26.2,34.0,32.0,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,0.49,13.8,73.4,0.21,Toyota Center,506994,15363
18,Phoenix Suns,28.9,33.0,33.0,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,US Airways Center,514718,15598
19,Portland Trail Blazers,27.5,28.0,38.0,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,Rose Garden Arena,676384,20496
20,Minnesota Timberwolves,24.4,26.0,40.0,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,0.477,14.0,27.5,0.236,0.491,12.2,73.0,0.187,Target Center,577197,17491
21,Golden State Warriors,25.3,23.0,43.0,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,622311,18858
22,Toronto Raptors,25.7,23.0,43.0,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,Air Canada Centre,555584,16836
23,New Orleans Hornets,25.5,21.0,45.0,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,New Orleans Arena,498618,15110
24,Washington Wizards,24.2,20.0,46.0,22,44,-4.8,-0.34,-5.14,101.0,106.2,-5.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,Verizon Center,552038,16728
25,Detroit Pistons,26.3,25.0,41.0,22,44,-4.79,-0.4,-5.19,101.0,106.3,-5.3,89.2,0.279,0.175,0.51,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,The Palace of Auburn Hills,475638,14413
26,Sacramento Kings,24.3,22.0,44.0,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,0.268,0.228,0.51,0.472,13.0,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,478764,14508
