,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,36,Omri Casspi,SF,6-9,225,"June 22, 1988",Israel,3,
1,21,Wayne Ellington,SG,6-4,207,"November 29, 1987",United States,3,UNC
2,33,Alonzo Gee,SF,6-6,225,"May 29, 1987",United States,3,Alabama
3,1,Daniel Gibson,PG,6-2,190,"February 27, 1986",United States,6,Texas
4,2,Kyrie Irving,PG,6-2,195,"March 23, 1992",Australia,1,Duke
5,5,Kevin Jones,PF,6-8,251,"August 25, 1989",United States,R,West Virginia
6,30,Jon Leuer,C,6-10,228,"May 14, 1989",United States,1,Wisconsin
7,14,Shaun Livingston,PG,6-7,192,"September 11, 1985",United States,7,
8,0,CJ Miles,SF,6-6,220,"March 18, 1987",United States,7,
9,8,Jeremy Pargo,PG,6-2,219,"March 17, 1986",United States,1,Gonzaga
10,20,Chris Quinn,SG,6-2,185,"September 27, 1983",United States,5,Notre Dame
11,24,Samardo Samuels,C,6-9,260,"January 9, 1989",Jamaica,2,Louisville
12,15,Donald Sloan,SG,6-3,205,"January 15, 1988",United States,1,Texas A&M
13,15,Marreese Speights,C,6-10,255,"August 4, 1987",United States,4,Florida
14,13,Tristan Thompson,PF,6-9,254,"March 13, 1991",Canada,1,Texas
15,17,Anderson Varejao,C,6-10,273,"September 28, 1982",Brazil,8,
16,3,Dion Waiters,SG,6-3,215,"December 10, 1991",United States,R,Syracuse
17,4,Luke Walton,PF,6-8,235,"March 28, 1980",United States,9,Arizona
18,40,Tyler Zeller,C,7-0,253,"January 17, 1990",United States,R,UNC
