,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,19,Gustavo Ayon,C,6-10,250,"April 1, 1985",Mexico,1,
1,21,Samuel Dalembert,C,6-11,255,"May 10, 1981",Haiti,10,Seton Hall
2,6,Marquis Daniels,SF,6-6,200,"January 7, 1981",United States,9,Auburn
3,17,Mike Dunleavy,SF,6-9,230,"September 15, 1980",United States,10,Duke
4,11,Monta Ellis,SG,6-3,185,"October 26, 1985",United States,7,
5,0,Drew Gooden,C,6-10,250,"September 24, 1981",United States,10,Kansas
6,15,Tobias Harris,SF,6-8,226,"July 15, 1992",United States,1,Tennessee
7,31,John Henson,PF,6-9,219,"December 28, 1990",United States,R,UNC
8,7,Ersan Ilyasova,PF,6-9,235,"May 15, 1987",Turkey,4,
9,3,Brandon Jennings,PG,6-1,170,"September 23, 1989",United States,3,
10,20,Doron Lamb,SG,6-4,210,"November 6, 1991",United States,R,Kentucky
11,12,Luc Mbah a Moute,SF,6-8,230,"September 9, 1986",Cameroon,4,UCLA
12,10,Joel Przybilla,C,7-1,255,"October 10, 1979",United States,12,Minnesota
13,5,JJ Redick,SG,6-3,200,"June 24, 1984",United States,6,Duke
14,8,Larry Sanders,C,6-11,235,"November 21, 1988",United States,2,VCU
15,15,Ish Smith,PG,6-0,175,"July 5, 1988",United States,2,Wake Forest
16,13,Ekpe Udoh,C,6-10,245,"May 20, 1987",United States,2,"Michigan, Baylor"
17,19,Beno Udrih,SG,6-3,205,"July 5, 1982",Slovenia,8,
