,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,7,Carmelo Anthony,PF,6-7,238,"May 29, 1984",United States,9,Syracuse
1,42,Earl Barron,C,7-0,250,"August 14, 1981",United States,6,Memphis
2,11,Ronnie Brewer,SF,6-7,220,"March 20, 1985",United States,6,Arkansas
3,23,Marcus Camby,PF,6-11,220,"March 22, 1974",United States,16,UMass
4,6,Tyson Chandler,C,7-0,235,"October 2, 1982",United States,11,
5,14,Chris Copeland,PF,6-9,239,"March 17, 1984",United States,R,Colorado
6,2,Raymond Felton,PG,6-1,205,"June 26, 1984",United States,7,UNC
7,54,Solomon Jones,PF,6-10,230,"July 16, 1984",United States,6,South Florida
8,5,Jason Kidd,SG,6-4,205,"March 23, 1973",United States,18,California
9,3,Kenyon Martin,C,6-9,234,"December 30, 1977",United States,12,Cincinnati
10,16,Steve Novak,SF,6-10,225,"June 13, 1983",United States,6,Marquette
11,9,Pablo Prigioni,PG,6-3,185,"May 17, 1977",Argentina,R,
12,55,Quentin Richardson,SF,6-6,223,"April 13, 1980",United States,12,DePaul
13,21,Iman Shumpert,SG,6-5,215,"June 26, 1990",United States,1,Georgia Tech
14,8,JR Smith,SG,6-6,225,"September 9, 1985",United States,8,
15,1,Amar'e Stoudemire,PF,6-10,245,"November 16, 1982",United States,10,
16,40,Kurt Thomas,PF,6-9,230,"October 4, 1972",United States,17,TCU
17,36,Rasheed Wallace,C,6-10,225,"September 17, 1974",United States,15,UNC
18,4,James White,SF,6-7,200,"October 21, 1982",United States,2,"Florida, Cincinnati"
