,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,50,Joel Anthony,C,6-9,245,"August 9, 1982",Canada,7,UNLV
1,14,DJ Augustin,PG,5-11,183,"November 10, 1987",United States,6,Texas
2,31,Caron Butler,SF,6-7,228,"March 13, 1980",United States,12,UConn
3,5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",United States,1,Georgia
4,13,Luigi Datome,SF,6-8,215,"November 27, 1987",Italy,1,
5,8,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",United States,R,Colorado
6,0,Andre Drummond,C,6-10,279,"August 10, 1993",United States,2,UConn
7,1,Reggie Jackson,PG,6-2,208,"April 16, 1990",Italy,3,Boston College
8,7,Brandon Jennings,PG,6-1,170,"September 23, 1989",United States,5,
9,33,Jonas Jerebko,PF,6-10,231,"March 2, 1987",Sweden,4,
10,9,John Lucas III,PG,5-11,166,"November 21, 1982",United States,6,"Baylor, Oklahoma State"
11,35,Cartier Martin,SF,6-7,220,"November 20, 1984",United States,6,Kansas State
12,20,Jodie Meeks,SG,6-4,210,"August 21, 1987",United States,5,Kentucky
13,20,Quincy Miller,PF,6-9,210,"November 18, 1992",United States,2,Baylor
14,10,Greg Monroe,PF,6-11,265,"June 4, 1990",United States,4,Georgetown
15,22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",United States,12,Kentucky
16,25,Kyle Singler,SF,6-8,228,"May 4, 1988",United States,2,Duke
17,6,Josh Smith,PF,6-9,225,"December 5, 1985",United States,10,
18,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,6,Creighton
19,3,Shawne Williams,SF,6-9,225,"February 16, 1986",United States,6,Memphis
