,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Lavoy Allen,C,6-9,260,"February 4, 1989",United States,3,Temple
1,22,Chris Copeland,SF,6-9,239,"March 17, 1984",United States,2,Colorado
2,13,Paul George,SF,6-8,220,"May 2, 1990",United States,4,Fresno State
3,55,Roy Hibbert,C,7-2,270,"December 11, 1986",United States,6,Georgetown
4,3,George Hill,PG,6-4,188,"May 4, 1986",United States,6,IUPUI
5,44,Solomon Hill,SF,6-6,226,"March 18, 1991",United States,1,Arizona
6,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",France,6,
7,0,CJ Miles,SG,6-6,220,"March 18, 1987",United States,9,
8,12,AJ Price,PG,6-2,181,"October 7, 1986",United States,5,UConn
9,9,Damjan Rudez,SF,6-10,228,"June 17, 1986",Croatia,R,
10,4,Luis Scola,PF,6-9,240,"April 30, 1980",Argentina,7,
11,15,Donald Sloan,PG,6-3,205,"January 15, 1988",United States,3,Texas A&M
12,2,Rodney Stuckey,PG,6-5,210,"April 21, 1986",United States,7,Eastern Washington
13,32,CJ Watson,PG,6-2,175,"April 17, 1984",United States,7,Tennessee
14,21,David West,PF,6-9,250,"August 29, 1980",United States,11,Xavier
15,42,Shayne Whittington,PF,6-11,250,"March 27, 1991",United States,R,Western Michigan
