,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,22,Jerrelle Benimon,PF,6-8,245,"August 1, 1991",United States,R,"Georgetown, Towson University"
1,33,Trevor Booker,PF,6-8,228,"November 25, 1987",United States,4,Clemson
2,3,Trey Burke,PG,6-0,185,"November 12, 1992",United States,1,Michigan
3,10,Alec Burks,SG,6-6,214,"July 20, 1991",United States,3,Colorado
4,19,Patrick Christopher,SG,6-5,209,"June 3, 1988",United States,R,California
5,21,Ian Clark,SG,6-3,175,"March 7, 1991",United States,1,Belmont
6,45,Jack Cooley,C,6-9,260,"April 12, 1991",United States,R,Notre Dame
7,8,Bryce Cotton,PG,6-1,165,"August 11, 1992",United States,R,Providence
8,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",United States,4,Western Kentucky
9,11,Dante Exum,PG,6-5,214,"July 13, 1995",Australia,R,
10,15,Derrick Favors,PF,6-9,265,"July 15, 1991",United States,4,Georgia Tech
11,27,Rudy Gobert,C,7-1,258,"June 26, 1992",France,1,
12,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",United States,4,Butler
13,5,Rodney Hood,SG,6-8,208,"October 20, 1992",United States,R,"Mississippi State, Duke"
14,2,Joe Ingles,SF,6-8,220,"October 2, 1987",Australia,R,
15,17,Grant Jerrett,PF,6-10,235,"July 8, 1993",United States,R,Arizona
16,23,Chris Johnson,SF,6-6,206,"April 29, 1990",United States,2,Dayton
17,0,Enes Kanter,C,6-10,250,"May 20, 1992",Switzerland,3,
18,13,Elijah Millsap,SG,6-6,225,"August 12, 1987",United States,R,"Louisiana, UAB"
19,23,Toure' Murry,PG,6-5,195,"November 8, 1989",United States,1,Wichita State
20,16,Steve Novak,SF,6-10,225,"June 13, 1983",United States,8,Marquette
21,25,Elliot Williams,SG,6-5,190,"June 20, 1989",United States,2,"Duke, Memphis"
