,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,24,Kent Bazemore,SF,6-4,195,"July 1, 1989",United States,3,Old Dominion
1,10,Tim Hardaway,SG,6-5,205,"March 16, 1992",United States,2,Michigan
2,12,Kirk Hinrich,PG,6-4,190,"January 2, 1981",United States,12,Kansas
3,7,Justin Holiday,SG,6-6,180,"April 5, 1989",United States,2,Washington
4,15,Al Horford,C,6-9,240,"June 3, 1986",Dominican Republic,8,Florida
5,43,Kris Humphries,PF,6-9,235,"February 6, 1985",United States,11,Minnesota
6,26,Kyle Korver,SG,6-7,212,"March 17, 1981",United States,12,Creighton
7,8,Shelvin Mack,PG,6-3,203,"April 22, 1990",United States,4,Butler
8,4,Paul Millsap,PF,6-7,257,"February 10, 1985",United States,9,Louisiana Tech
9,31,Mike Muscala,C,6-10,240,"July 1, 1991",United States,2,Bucknell
10,13,Lamar Patterson,SG,6-5,225,"August 12, 1991",United States,R,Pitt
11,17,Dennis Schroder,PG,6-3,172,"September 15, 1993",Germany,2,
12,32,Mike Scott,PF,6-7,237,"July 16, 1988",United States,3,Virginia
13,25,Thabo Sefolosha,SF,6-6,215,"May 2, 1984",Switzerland,9,
14,11,Tiago Splitter,C,6-11,245,"January 1, 1985",Brazil,5,
15,22,Edy Tavares,C,7-3,260,"March 22, 1992",Cape Verde,R,
16,0,Jeff Teague,PG,6-3,195,"June 10, 1988",United States,6,Wake Forest
