,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,LaMarcus Aldridge,PF,6-11,250,"July 19, 1985",United States,9,Texas
1,1,Kyle Anderson,SF,6-9,230,"September 20, 1993",United States,1,UCLA
2,15,Matt Bonner,C,6-10,235,"April 5, 1980",United States,11,Florida
3,18,Rasual Butler,SF,6-7,215,"May 23, 1979",United States,12,La Salle
4,33,Boris Diaw,PF,6-8,250,"April 16, 1982",France,12,
5,21,Tim Duncan,C,6-11,250,"April 25, 1976",U.S. Virgin Islands,18,Wake Forest
6,20,Manu Ginobili,SG,6-6,205,"July 28, 1977",Argentina,13,
7,14,Danny Green,SG,6-6,215,"June 22, 1987",United States,6,UNC
8,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",United States,4,San Diego State
9,40,Boban Marjanovic,C,7-4,290,"August 15, 1988",Serbia,R,
10,23,Kevin Martin,SG,6-7,199,"February 1, 1983",United States,11,Western Carolina University
11,3,Ray McCallum,PG,6-3,190,"June 12, 1991",United States,2,Detroit Mercy
12,24,Andre Miller,PG,6-3,200,"March 19, 1976",United States,16,Utah
13,8,Patty Mills,PG,6-1,180,"August 11, 1988",Australia,6,Saint Mary's
14,9,Tony Parker,PG,6-2,185,"May 17, 1982",Belgium,14,
15,17,Jonathon Simmons,SG,6-6,195,"September 14, 1989",United States,R,Houston
16,30,David West,PF,6-9,250,"August 29, 1980",United States,12,Xavier
