,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,4,Quincy Acy,PF,6-7,240,"October 6, 1990",United States,4,Baylor
1,1,Justin Anderson,SF,6-6,230,"November 19, 1993",United States,1,Virginia
2,5,JJ Barea,PG,5-10,180,"June 26, 1984",Puerto Rico,10,Northeastern University
3,40,Harrison Barnes,PF,6-8,225,"May 30, 1992",United States,4,UNC
4,42,Ben Bentil,PF,6-9,235,"March 29, 1995",Ghana,R,Providence
5,6,Andrew Bogut,C,7-0,260,"November 28, 1984",Australia,11,Utah
6,9,Nicolas Brussino,SG,6-7,195,"March 2, 1993",Argentina,R,
7,2,Quinn Cook,PG,6-1,180,"March 23, 1993",United States,R,Duke
8,30,Seth Curry,PG,6-2,185,"August 23, 1990",United States,3,"Liberty, Duke"
9,11,Yogi Ferrell,PG,6-0,178,"May 9, 1993",United States,R,Indiana
10,10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",United States,R,Florida
11,3,Jonathan Gibson,PG,6-2,185,"November 8, 1987",United States,R,New Mexico State
12,20,AJ Hammons,C,7-0,260,"August 27, 1992",United States,R,Purdue
13,34,Devin Harris,PG,6-3,185,"February 27, 1983",United States,12,Wisconsin
14,6,Manny Harris,SG,6-5,185,"September 21, 1989",United States,3,Michigan
15,55,Pierre Jackson,PG,5-10,180,"August 29, 1991",United States,R,Baylor
16,14,DeAndre Liggins,SG,6-6,209,"March 31, 1988",United States,3,Kentucky
17,23,Wesley Matthews,SG,6-4,220,"October 14, 1986",United States,7,Marquette
18,50,Salah Mejri,C,7-2,235,"June 15, 1986",Tunisia,1,
19,3,Nerlens Noel,C,6-11,220,"April 10, 1994",United States,2,Kentucky
20,41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",Germany,18,
21,7,Dwight Powell,C,6-10,240,"July 20, 1991",Canada,2,Stanford
22,19,Jarrod Uthoff,PF,6-9,221,"May 19, 1993",United States,R,Iowa
23,8,Deron Williams,PG,6-3,200,"June 26, 1984",United States,11,Illinois
