,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Justin Anderson,SF,6-6,230,"November 19, 1993",United States,2,Virginia
1,0,Jerryd Bayless,SG,6-3,200,"August 20, 1988",United States,9,Arizona
2,18,Marco Belinelli,SG,6-5,220,"March 25, 1986",Italy,10,
3,35,Trevor Booker,PF,6-8,228,"November 25, 1987",United States,7,Clemson
4,33,Robert Covington,SF,6-7,209,"December 14, 1990",United States,4,Tennessee State
5,27,Larry Drew,PG,6-2,180,"March 5, 1990",United States,1,"UNC, UCLA"
6,21,Joel Embiid,C,7-0,280,"March 16, 1994",Cameroon,1,Kansas
7,20,Markelle Fultz,SG,6-3,209,"May 29, 1998",United States,R,Washington
8,22,Richaun Holmes,C,6-10,235,"October 15, 1993",United States,2,Bowling Green
9,23,Ersan Ilyasova,PF,6-9,235,"May 15, 1987",Turkey,9,
10,11,Demetrius Jackson,PG,6-1,201,"September 7, 1994",United States,1,Notre Dame
11,5,Amir Johnson,C,6-9,240,"May 1, 1987",United States,12,
12,30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",Turkey,R,
13,7,Timothe Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",France,1,
14,14,James Michael McAdoo,PF,6-9,230,"January 4, 1993",United States,3,UNC
15,12,TJ McConnell,PG,6-1,190,"March 25, 1992",United States,2,"Duquesne, Arizona"
16,8,Jahlil Okafor,C,6-10,270,"December 15, 1995",United States,2,Duke
17,0,Jacob Pullen,PG,6-1,200,"November 10, 1989",United States,R,Kansas State
18,17,JJ Redick,SG,6-3,200,"June 24, 1984",United States,11,Duke
19,9,Dario Saric,PF,6-10,225,"April 8, 1994",Croatia,1,
20,25,Ben Simmons,PG,6-11,240,"July 20, 1996",Australia,R,LSU
21,11,Nik Stauskas,SG,6-6,205,"October 7, 1993",Canada,3,Michigan
22,8,James Young,SG,6-6,215,"August 16, 1995",United States,3,Kentucky
