,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,8,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",United States,7,Wake Forest
1,2,Wade Baldwin,PG,6-4,200,"March 29, 1996",United States,1,Vanderbilt
2,33,Zach Collins,C,6-11,250,"November 19, 1997",United States,R,Gonzaga
3,5,Pat Connaughton,SG,6-5,209,"January 6, 1993",United States,2,Notre Dame
4,17,Ed Davis,C,6-9,218,"June 5, 1989",United States,7,UNC
5,4,Maurice Harkless,SF,6-7,220,"May 11, 1993",United States,5,St. John's
6,10,Jake Layman,SF,6-8,209,"March 7, 1994",United States,1,Maryland
7,11,Meyers Leonard,C,7-0,260,"February 27, 1992",United States,5,Illinois
8,0,Damian Lillard,PG,6-2,195,"July 15, 1990",United States,5,Weber State
9,3,CJ McCollum,SG,6-3,190,"September 19, 1991",United States,4,Lehigh
10,6,Shabazz Napier,PG,6-0,175,"July 14, 1991",United States,3,UConn
11,27,Jusuf Nurkic,C,6-11,290,"August 23, 1994",Bosnia & Herzegovina,3,
12,19,Georgios Papagiannis,C,7-1,240,"July 3, 1997",Greece,1,
13,50,Caleb Swanigan,PF,6-9,260,"April 18, 1997",United States,R,Purdue
14,1,Evan Turner,SF,6-6,220,"October 27, 1988",United States,7,Ohio State
15,21,Noah Vonleh,PF,6-10,257,"August 24, 1995",United States,3,Indiana
