,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,26,Kent Bazemore,SF,6-4,195,"July 1, 1989",United States,8,Old Dominion
1,20,Jordan Bell,C,6-8,216,"January 7, 1995",United States,3,Oregon
2,32,Marquese Chriss,PF,6-9,240,"July 2, 1997",United States,4,Washington
3,30,Stephen Curry,PG,6-3,185,"March 14, 1988",United States,11,Davidson
4,23,Draymond Green,PF,6-6,230,"March 4, 1990",United States,8,Michigan State
5,1,Damion Lee,SG,6-5,210,"October 21, 1992",United States,3,"Drexel, Louisville"
6,5,Kevon Looney,C,6-9,222,"February 6, 1996",United States,5,UCLA
7,2,Nico Mannion,PG,6-2,190,"March 14, 2001",Italy,R,Arizona
8,15,Mychal Mulder,PG,6-3,184,"June 12, 1994",Canada,1,"Vincennes University, Kentucky"
9,12,Kelly Oubre,SF,6-7,203,"December 9, 1995",United States,5,Kansas
10,7,Eric Paschall,PF,6-6,255,"November 4, 1996",United States,1,"Fordham, Villanova"
11,0,Gary Payton,PG,6-3,190,"December 1, 1992",United States,4,Oregon State
12,3,Jordan Poole,SG,6-4,194,"June 19, 1999",United States,1,Michigan
13,6,Alen Smailagic,PF,6-10,215,"August 18, 2000",Serbia,1,
14,95,Juan Toscano-Anderson,SG,6-6,209,"April 10, 1993",United States,1,Marquette
15,10,Brad Wanamaker,PG,6-3,210,"July 25, 1989",United States,2,Pitt
16,22,Andrew Wiggins,PF,6-7,197,"February 23, 1995",Canada,6,Kansas
17,33,James Wiseman,C,7-0,240,"March 31, 2001",United States,R,Memphis
