,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,37,Kostas Antetokounmpo,PF,6-10,200,"November 20, 1997",Greece,2,Dayton
1,12,Devontae Cacok,PF,6-7,240,"October 8, 1996",United States,1,UNC Wilmington
2,1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",United States,7,Georgia
3,4,Alex Caruso,PG,6-4,186,"February 28, 1994",United States,3,Texas A&M
4,2,Quinn Cook,PG,6-1,180,"March 23, 1993",United States,4,Duke
5,3,Anthony Davis,PF,6-10,253,"March 11, 1993",United States,8,Kentucky
6,2,Andre Drummond,C,6-10,279,"August 10, 1993",United States,8,UConn
7,10,Jared Dudley,PF,6-6,237,"July 10, 1985",United States,13,Boston College
8,14,Marc Gasol,C,6-11,255,"January 29, 1985",Spain,12,
9,15,Montrezl Harrell,C,6-7,240,"January 26, 1994",United States,5,Louisville
10,5,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",United States,1,Iowa State
11,23,LeBron James,PG,6-9,250,"December 30, 1984",United States,17,
12,30,Damian Jones,C,6-11,245,"June 30, 1995",United States,4,Vanderbilt
13,0,Kyle Kuzma,SF,6-10,221,"July 24, 1995",United States,3,Utah
14,9,Wesley Matthews,SG,6-4,220,"October 14, 1986",United States,11,Marquette
15,28,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",United States,3,Green Bay
16,7,Ben McLemore,SG,6-3,195,"February 11, 1993",United States,7,Kansas
17,88,Markieff Morris,PF,6-9,245,"September 2, 1989",United States,9,Kansas
18,17,Dennis Schroder,SG,6-3,172,"September 15, 1993",Germany,7,
