,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12.0,Ja Morant,PG,6-3,174,"August 10, 1999",us,2,Murray State
1,22.0,Desmond Bane,SG,6-5,215,"June 25, 1998",us,1,TCU
2,0.0,De'Anthony Melton,PG,6-2,200,"May 28, 1998",us,3,USC
3,13.0,Jaren Jackson Jr,C,6-11,242,"September 15, 1999",us,3,Michigan State
4,1.0,Kyle Anderson,PF,6-9,230,"September 20, 1993",us,7,UCLA
5,21.0,Tyus Jones,PG,6-0,196,"May 10, 1996",us,6,Duke
6,4.0,Steven Adams,C,6-11,265,"July 20, 1993",nz,8,Pitt
7,15.0,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca,2,"San Jose State, Gonzaga"
8,46.0,John Konchar,SG,6-5,210,"March 22, 1996",us,2,Purdue-Fort Wayne
9,8.0,Ziaire Williams,F,6-8,215,"September 12, 2001",us,R,Stanford
10,,Xavier Tillman Sr,PF,6-8,245,"January 12, 1999",us,1,Michigan State
11,,Jarrett Culver,SG,6-6,195,"February 20, 1999",us,2,Texas Tech
12,,Sam Merrill,SG,6-4,205,"May 15, 1996",us,1,Utah State University
13,,Justise Winslow,F,6-6,222,"March 26, 1996",us,6,Duke
14,,Dillon Brooks,SF,6-7,225,"January 22, 1996",ca,4,Oregon
15,,Santi Aldama,F,6-11,224,"January 10, 2001",es,R,Loyola College in Maryland
16,,Killian Tillie (TW),C,6-9,220,"March 5, 1998",fr,1,Gonzaga
