Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,22,TOR,21,17,26.5,3.4,8.8,.386,0.3,1.2,.269,3.0,7.5,.405,.405,0.9,1.7,.543,2.3,5.9,8.2,1.6,0.5,0.6,1.1,2.5,8.0,556,10.5,.421,.141,.190,9.1,25.7,16.9,8.5,1.0,2.1,10.3,17.2,,-0.2,0.6,0.4,.031,,-3.5,-1.2,-4.7,-0.4
2,Steven Adams,C,28,MEM,23,23,24.4,2.5,4.9,.509,0.0,0.0,,2.5,4.9,.509,.509,1.8,2.7,.672,3.7,4.6,8.2,2.7,0.8,0.7,1.5,1.7,6.7,561,17.1,.558,.000,.545,15.8,20.1,17.9,14.6,1.6,2.8,19.7,12.9,,1.1,0.4,1.5,.127,,0.4,-1.3,-0.8,0.2
3,Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7,592,19.8,.577,.004,.461,9.4,25.1,17.3,16.1,1.7,1.1,15.3,25.8,,1.0,0.9,1.9,.151,,0.8,0.9,1.7,0.5
4,Santi Aldama,PF,21,MEM,12,0,10.4,1.8,4.6,.382,0.3,1.9,.130,1.5,2.7,.563,.409,0.4,0.7,.625,1.1,1.8,2.9,1.0,0.1,0.3,0.1,0.9,4.2,125,13.7,.427,.418,.145,10.9,18.9,14.9,13.6,0.4,2.2,1.7,20.0,,0.1,0.0,0.2,.066,,-1.8,-3.3,-5.1,-0.1
5,LaMarcus Aldridge,C,36,BRK,22,5,23.6,6.0,10.5,.570,0.5,1.3,.357,5.5,9.2,.599,.591,1.5,1.8,.800,1.5,4.4,5.9,0.9,0.3,1.1,0.6,1.6,13.8,519,21.3,.614,.122,.174,6.8,18.9,13.1,6.3,0.7,4.2,5.4,22.1,,1.3,0.7,2.0,.184,,2.2,-0.9,1.2,0.4
6,Nickeil Alexander-Walker,SG,23,NOP,26,18,28.8,5.0,13.8,.362,2.0,6.8,.301,3.0,7.0,.421,.436,1.5,1.9,.780,1.0,2.9,4.0,2.7,0.9,0.4,1.5,1.7,13.5,749,11.3,.462,.490,.139,3.8,11.3,7.4,15.1,1.6,1.4,9.3,23.9,,-0.3,0.2,0.0,-0.002,,-1.4,-2.1,-3.5,-0.3
7,Grayson Allen,SG,26,MIL,23,23,29.0,4.7,10.3,.456,3.1,7.3,.426,1.6,3.0,.529,.608,1.3,1.4,.879,0.6,3.3,3.8,1.4,0.7,0.3,0.7,1.7,13.8,667,15.3,.630,.713,.139,2.1,11.3,6.8,7.1,1.1,0.9,5.6,17.1,,1.5,0.6,2.2,.156,,2.2,-1.1,1.1,0.5
8,Jarrett Allen,C,23,CLE,21,21,33.2,7.0,10.0,.703,0.0,0.2,.250,7.0,9.8,.712,.706,2.9,4.3,.659,3.5,7.9,11.3,1.9,1.0,1.2,2.1,1.7,16.9,698,24.1,.713,.019,.435,11.6,25.2,18.5,9.4,1.4,3.3,15.0,18.3,,2.2,1.3,3.5,.240,,2.9,1.3,4.2,1.1
9,Jose Alvarado,PG,23,NOP,7,0,5.4,0.7,1.9,.385,0.3,0.7,.400,0.4,1.1,.375,.462,0.3,0.4,.667,0.3,0.4,0.7,1.3,0.4,0.0,0.0,0.4,2.0,38,20.1,.489,.385,.231,5.5,8.8,7.1,35.8,3.9,0.0,0.0,16.1,,0.1,0.0,0.2,.194,,2.5,2.5,5.1,0.1
10,Kyle Anderson,PF,28,MEM,21,2,21.7,3.1,7.3,.429,0.9,2.4,.360,2.3,5.0,.462,.487,0.7,0.9,.789,1.1,4.1,5.2,2.4,0.9,0.5,1.0,1.4,7.9,455,14.3,.508,.325,.123,5.3,20.5,12.8,15.1,1.9,2.0,11.0,16.8,,0.4,0.3,0.8,.083,,-0.3,-0.9,-1.2,0.1
