,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2010-11,20.0,LAC,NBA,SF,81.0,1452.0,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
1,2011-12,21.0,NOH,NBA,SF,66.0,1477.0,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-2.9,0.6,-2.2,-0.1
2,2012-13,22.0,NOH,NBA,SF,76.0,2066.0,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1.0
3,2013-14,23.0,NOP,NBA,SF,80.0,2045.0,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7
4,2014-15,24.0,DAL,NBA,SF,74.0,1366.0,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,0.115,-0.7,1.5,0.7,1.0
5,2015-16,25.0,POR,NBA,SF,82.0,2341.0,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.082,-0.2,0.2,0.1,1.2
6,2016-17,26.0,POR,NBA,PF,61.0,1773.0,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,0.051,-1.4,0.4,-1.1,0.4
7,2017-18,27.0,POR,NBA,PF,69.0,2072.0,12.0,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
8,2018-19,28.0,POR,NBA,PF,81.0,2292.0,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.6,0.7,1.5
9,2019-20,29.0,ORL,NBA,PF,18.0,380.0,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1
10,2020-21,30.0,TOT,NBA,PF,23.0,434.0,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.01,-5.0,1.0,-4.0,-0.2
11,2020-21,30.0,ORL,NBA,PF,17.0,367.0,9.9,0.482,0.348,0.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,-0.3,0.4,0.1,0.014,-4.4,1.2,-3.3,-0.1
12,2020-21,30.0,CHI,NBA,PF,6.0,67.0,3.0,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0.0,19.7,9.8,-0.1,0.1,0.0,-0.013,-7.9,0.0,-7.9,-0.1
13,Career,,,NBA,,711.0,17698.0,12.2,0.517,0.352,0.263,6.2,20.9,13.6,7.3,2.0,1.8,14.3,15.2,6.8,20.7,27.6,0.075,-1.2,0.7,-0.6,6.4
14,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,POR,NBA,,293.0,8478.0,12.4,0.534,0.5,0.231,5.0,21.6,13.4,7.1,1.6,1.6,12.3,15.2,5.5,10.3,15.8,0.09,-0.5,0.5,0.1,4.5
16,3 seasons,,"NOH,NOP",NBA,,222.0,5588.0,12.7,0.507,0.086,0.291,7.6,21.9,14.7,7.9,2.2,1.8,16.4,14.9,1.6,5.9,7.6,0.065,-1.6,0.7,-0.8,1.6
17,1 season,,LAC,NBA,,81.0,1452.0,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
18,1 season,,DAL,NBA,,74.0,1366.0,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,0.115,-0.7,1.5,0.7,1.0
19,2 seasons,,ORL,NBA,,35.0,747.0,8.8,0.438,0.383,0.263,6.0,19.6,12.6,9.3,2.3,2.1,17.7,13.7,-0.7,1.0,0.2,0.014,-4.4,1.3,-3.2,-0.2
20,1 season,,CHI,NBA,,6.0,67.0,3.0,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0.0,19.7,9.8,-0.1,0.1,0.0,-0.013,-7.9,0.0,-7.9,-0.1
