,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2017-18,25.0,TOR,NBA,SF,14.0,53.0,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-2.6,-0.4,-3.0,0.0
1,2018-19,26.0,GSW,NBA,SF,72.0,1003.0,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4
2,2019-20,27.0,CLE,NBA,SF,40.0,593.0,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
3,2020-21,28.0,LAL,NBA,SF,39.0,258.0,15.5,0.604,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0.0,4.7,17.8,0.5,0.3,0.8,0.156,0.4,-1.2,-0.8,0.1
4,Career,,,NBA,,165.0,1907.0,11.0,0.554,0.417,0.181,8.2,15.6,12.0,3.7,1.2,1.1,9.7,14.9,1.5,1.7,3.2,0.081,-2.5,-1.1,-3.7,-0.8
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1 season,,GSW,NBA,,72.0,1003.0,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4
7,1 season,,CLE,NBA,,40.0,593.0,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
8,1 season,,LAL,NBA,,39.0,258.0,15.5,0.604,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0.0,4.7,17.8,0.5,0.3,0.8,0.156,0.4,-1.2,-0.8,0.1
9,1 season,,TOR,NBA,,14.0,53.0,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-2.6,-0.4,-3.0,0.0
