,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2013-14,22.0,OKC,NBA,SG,40.0,399.0,9.0,0.518,0.191,0.147,10.7,15.6,13.3,5.2,2.4,2.0,20.8,10.1,0.2,0.6,0.8,0.099,-3.8,1.4,-2.4,0.0
1,2014-15,23.0,OKC,NBA,SG,67.0,1286.0,9.1,0.513,0.423,0.239,5.1,16.0,10.6,7.4,2.1,1.8,17.2,9.0,0.5,1.6,2.1,0.079,-2.4,1.7,-0.7,0.4
2,2015-16,24.0,OKC,NBA,SG,70.0,1553.0,10.2,0.566,0.376,0.197,5.9,11.4,8.8,4.0,1.7,2.0,10.5,9.1,1.8,1.6,3.4,0.105,-0.7,1.3,0.5,1.0
3,2016-17,25.0,OKC,NBA,SF,79.0,2376.0,9.6,0.51,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,0.085,-2.5,1.4,-1.0,0.6
4,2017-18,26.0,OKC,NBA,SG,39.0,1037.0,10.9,0.543,0.222,0.235,7.8,12.2,9.9,6.0,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.9,1.8,-0.1,0.5
5,2019-20,28.0,OKC,NBA,SF,7.0,87.0,5.4,0.335,0.483,0.069,9.2,24.7,17.1,6.3,0.6,3.0,6.3,16.1,-0.1,0.1,0.0,-0.017,-5.2,-0.1,-5.3,-0.1
6,2020-21,29.0,BRK,NBA,SG,5.0,63.0,4.2,0.202,0.571,0.143,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,-0.1,0.1,-0.1,-0.043,-5.1,-1.2,-6.2,-0.1
7,Career,,,NBA,,307.0,6801.0,9.7,0.52,0.366,0.219,5.9,13.8,9.9,5.3,2.0,2.4,12.2,9.5,4.2,8.4,12.6,0.089,-2.1,1.4,-0.6,2.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 seasons,,OKC,NBA,,302.0,6738.0,9.8,0.524,0.363,0.22,5.9,13.8,9.9,5.3,1.9,2.4,12.2,9.5,4.3,8.4,12.7,0.09,-2.1,1.5,-0.6,2.4
10,1 season,,BRK,NBA,,5.0,63.0,4.2,0.202,0.571,0.143,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,-0.1,0.1,-0.1,-0.043,-5.1,-1.2,-6.2,-0.1
