No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Solomon Hill,F,6-6,226,"March 18, 1991",us,8,Arizona
,Onyeka Okongwu,F,6-8,235,"December 11, 2000",us,1,USC
,Ibi Watson,G,6-5,195,"January 6, 1998",us,R,"Michigan, Dayton"
,Trae Young,G,6-1,180,"September 19, 1998",us,3,Oklahoma
,Sharife Cooper (TW),G,6-1,180,"June 11, 2001",us,R,Auburn
,Bogdan Bogdanović,G,6-6,220,"August 18, 1992",rs,4,
,Ibi Watson,G,6-5,195,"January 6, 1998",us,R,"Michigan, Dayton"
,Kevin Huerter,G,6-7,190,"August 27, 1998",us,3,Maryland
,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,8,Louisville
,Danilo Gallinari,F,6-10,233,"August 8, 1988",it,12,
,Clint Capela,C,6-10,240,"May 18, 1994",ch,7,
,Johnny Hamilton,C,7-0,230,"February 3, 1994",tt,R,"Virginia Tech, UT Arlington"
,Jalen Johnson,F,6-9,220,"December 18, 2001",us,R,Duke
,De'Andre Hunter,F,6-8,225,"December 2, 1997",us,2,Virginia
,Skylar Mays (TW),G,6-4,205,"September 5, 1997",us,1,LSU
,Lou Williams,G,6-1,175,"October 27, 1986",us,16,
,Cam Reddish,F,6-8,218,"September 1, 1999",us,2,Duke
,Timothé Luwawu-Cabarrot,F,6-7,220,"May 9, 1995",fr,5,
,John Collins,F,6-9,235,"September 23, 1997",us,4,Wake Forest
,Delon Wright,G,6-5,185,"April 26, 1992",us,6,Utah
,DaQuan Jeffries,G-F,6-5,230,"August 30, 1997",us,2,"Oral Roberts, Tulsa"
