,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2015-16,23.0,DEN,NBA,SF,21.0,305.0,7.1,0.49,0.571,0.243,2.9,8.5,5.6,7.0,1.2,1.6,7.2,12.0,0.2,0.1,0.3,0.049,-3.6,-1.0,-4.7,-0.2
1,2016-17,24.0,TOT,NBA,SF,4.0,47.0,6.2,0.611,0.444,0.0,0.0,2.3,1.1,0.0,1.0,1.7,0.0,8.5,0.0,0.0,0.1,0.061,-5.5,-0.7,-6.2,-0.1
2,2016-17,24.0,MIL,NBA,SF,2.0,6.0,-9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,-0.191,-13.2,-5.7,-18.8,0.0
3,2016-17,24.0,NOP,NBA,SF,2.0,41.0,8.6,0.688,0.375,0.0,0.0,2.6,1.3,0.0,1.2,2.0,0.0,8.6,0.1,0.0,0.1,0.098,-4.4,0.0,-4.4,0.0
4,2020-21,28.0,MIL,NBA,SF,8.0,61.0,9.0,0.497,0.182,0.636,0.0,10.0,5.2,7.6,1.5,4.4,0.0,9.7,0.1,0.1,0.1,0.097,-4.4,1.3,-3.1,0.0
5,Career,,,NBA,,33.0,413.0,7.3,0.502,0.511,0.267,2.1,8.0,5.1,6.3,1.2,2.0,5.6,11.2,0.3,0.2,0.5,0.057,-4.0,-0.6,-4.6,-0.3
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,DEN,NBA,,21.0,305.0,7.1,0.49,0.571,0.243,2.9,8.5,5.6,7.0,1.2,1.6,7.2,12.0,0.2,0.1,0.3,0.049,-3.6,-1.0,-4.7,-0.2
8,2 seasons,,MIL,NBA,,10.0,67.0,7.3,0.464,0.25,0.583,0.0,9.1,4.7,6.9,1.4,4.0,0.0,9.5,0.0,0.1,0.1,0.071,-5.2,0.7,-4.5,0.0
9,1 season,,NOP,NBA,,2.0,41.0,8.6,0.688,0.375,0.0,0.0,2.6,1.3,0.0,1.2,2.0,0.0,8.6,0.1,0.0,0.1,0.098,-4.4,0.0,-4.4,0.0
