Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20.0,Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee)
2010-11,21.0,LAC,NBA,PF,82,82,38.0,8.5,16.8,.506,0.1,0.3,.292,8.4,16.5,.510,.508,5.4,8.5,.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,22.5
2011-12,22.0,LAC,NBA,PF,66,66,36.2,8.5,15.5,.549,0.0,0.2,.125,8.5,15.2,.556,.550,3.7,7.1,.521,3.3,7.6,10.9,3.2,0.8,0.7,2.3,3.3,20.7
2012-13,23.0,LAC,NBA,PF,80,80,32.5,7.2,13.4,.538,0.1,0.4,.179,7.2,13.1,.548,.541,3.5,5.3,.660,2.3,6.0,8.3,3.7,1.2,0.6,2.3,2.9,18.0
2013-14,24.0,LAC,NBA,PF,80,80,35.8,9.0,17.0,.528,0.2,0.6,.273,8.8,16.4,.537,.533,6.0,8.4,.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1
2014-15,25.0,LAC,NBA,PF,67,67,35.2,8.6,17.1,.502,0.1,0.4,.400,8.4,16.7,.504,.506,4.6,6.4,.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9
2015-16,26.0,LAC,NBA,PF,35,35,33.4,8.6,17.2,.499,0.2,0.5,.333,8.4,16.7,.504,.504,4.0,5.5,.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4
2016-17,27.0,LAC,NBA,PF,61,61,34.0,7.9,15.9,.493,0.6,1.9,.336,7.2,14.1,.514,.513,5.2,6.9,.760,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6
2017-18,28.0,TOT,NBA,PF,58,58,34.0,7.5,17.2,.438,1.9,5.6,.345,5.6,11.6,.482,.493,4.5,5.7,.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4
2017-18,28.0,LAC,NBA,PF,33,33,34.5,7.7,17.5,.441,1.9,5.7,.342,5.8,11.8,.488,.497,5.2,6.6,.785,1.4,6.5,7.9,5.4,0.9,0.3,3.0,2.4,22.6
2017-18,28.0,DET,NBA,PF,25,25,33.2,7.2,16.7,.433,1.9,5.4,.348,5.4,11.3,.473,.489,3.5,4.4,.784,1.1,5.6,6.6,6.2,0.4,0.4,2.6,2.4,19.8
2018-19,29.0,DET,NBA,PF,75,75,35.0,8.3,17.9,.462,2.5,7.0,.362,5.7,10.9,.525,.532,5.5,7.3,.753,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,24.5
2019-20,30.0,DET,NBA,PF,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
2020-21,31.0,TOT,NBA,PF,46,30,25.8,3.8,8.9,.423,1.5,4.5,.341,2.3,4.5,.505,.509,1.9,2.5,.744,0.8,4.1,4.9,3.0,0.7,0.3,1.3,2.4,11.0
2020-21,31.0,DET,NBA,PF,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
2020-21,31.0,BRK,NBA,PF,26,10,21.5,3.6,7.3,.492,1.2,3.1,.383,2.4,4.2,.574,.574,1.7,2.1,.782,1.1,3.6,4.7,2.4,0.7,0.5,1.2,2.7,10.0
2021-22,32.0,BRK,NBA,PF,15,15,22.3,2.0,6.5,.306,0.6,3.6,.167,1.4,2.9,.477,.352,1.1,1.5,.696,1.3,3.8,5.1,2.2,0.5,0.5,0.5,2.2,5.7
Career,,,NBA,,683,667,34.0,7.7,15.6,.494,0.7,2.2,.328,7.0,13.4,.520,.516,4.5,6.5,.696,2.0,6.4,8.5,4.3,0.9,0.5,2.5,2.8,20.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,LAC,NBA,,504,504,35.1,8.3,16.1,.512,0.3,0.9,.316,8.0,15.2,.524,.521,4.8,7.0,.680,2.4,6.9,9.3,4.2,1.0,0.5,2.5,3.0,21.6
4 seasons,,DET,NBA,,138,138,33.3,7.0,16.2,.434,2.2,6.5,.339,4.8,9.7,.498,.502,4.5,5.9,.756,1.1,5.6,6.7,5.0,0.6,0.3,2.8,2.4,20.7
2 seasons,,BRK,NBA,,41,25,21.8,3.0,7.0,.429,1.0,3.3,.296,2.0,3.7,.546,.498,1.4,1.9,.756,1.1,3.7,4.8,2.3,0.6,0.5,0.9,2.5,8.4
