Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,20.0,Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia)
2013-14,21.0,Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia),Did Not Play (other pro league—Serbia)
2014-15,22.0,Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey)
2015-16,23.0,Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey)
2016-17,24.0,Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey)
2017-18,25.0,SAC,NBA,SG,78,53,27.9,4.4,9.9,.446,1.7,4.2,.392,2.8,5.7,.485,.529,1.3,1.5,.840,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8
2018-19,26.0,SAC,NBA,SG,70,17,27.8,5.2,12.3,.418,1.9,5.3,.360,3.2,7.0,.462,.496,1.9,2.3,.827,0.6,2.9,3.5,3.8,1.0,0.2,1.7,2.0,14.1
2019-20,27.0,SAC,NBA,SG,61,28,29.0,5.5,12.6,.440,2.7,7.2,.372,2.8,5.3,.532,.547,1.4,1.9,.741,0.4,3.0,3.4,3.4,1.0,0.2,1.7,2.2,15.1
2020-21,28.0,ATL,NBA,SG,44,27,29.7,6.1,12.8,.473,3.3,7.6,.438,2.8,5.3,.522,.602,0.9,1.0,.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4
2021-22,29.0,ATL,NBA,SG,9,9,29.6,4.2,9.2,.458,1.9,4.4,.425,2.3,4.8,.488,.560,0.9,0.9,1.000,0.6,3.4,4.0,2.4,0.9,0.1,1.0,2.3,11.2
