Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,25.0,BRK,NBA,SF,78.0,1854.0,11.6,0.562,0.444,0.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,1.7,0.7,2.4,0.062,-0.3,-1.4,-1.7,0.1
2015-16,26.0,BRK,NBA,SF,79.0,2115.0,10.7,0.55,0.451,0.176,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,0.9,0.0,0.9,0.021,-1.0,-2.6,-3.5,-0.8
2016-17,27.0,TOT,NBA,SF,81.0,2083.0,13.5,0.585,0.464,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12.1,22.4,2.0,0.9,2.9,0.067,-0.1,-2.1,-2.2,-0.1
2016-17,27.0,BRK,NBA,SF,55.0,1482.0,13.0,0.572,0.453,0.273,1.7,12.3,7.0,10.1,0.8,0.2,12.0,22.5,1.0,0.6,1.6,0.052,-0.5,-2.1,-2.6,-0.2
2016-17,27.0,WAS,NBA,SF,26.0,601.0,14.7,0.617,0.491,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.9,0.3,1.3,0.103,0.8,-2.0,-1.2,0.1
2017-18,28.0,IND,NBA,SF,80.0,2464.0,13.9,0.605,0.453,0.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19.0,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8
2018-19,29.0,IND,NBA,SF,81.0,2573.0,16.1,0.613,0.367,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.3,-0.6,0.7,1.7
2019-20,30.0,UTA,NBA,SF,63.0,2083.0,15.6,0.603,0.489,0.296,2.1,11.2,6.8,10.0,0.8,0.3,13.1,25.5,2.6,1.6,4.2,0.096,1.6,-1.5,0.1,1.1
2020-21,31.0,UTA,NBA,SF,72.0,2216.0,14.0,0.588,0.498,0.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.1,-0.9,-0.8,0.7
2021-22,32.0,UTA,NBA,PF,11.0,337.0,16.7,0.577,0.426,0.34,3.7,11.0,7.6,7.4,0.9,0.0,7.9,22.4,0.8,0.3,1.1,0.163,1.2,-1.8,-0.6,0.1
Career,,,NBA,,545.0,15725.0,13.8,0.59,0.45,0.26,2.0,11.4,6.8,8.2,1.0,0.2,11.3,21.3,18.5,10.4,28.9,0.088,0.4,-1.4,-1.1,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,BRK,NBA,,212.0,5451.0,11.7,0.56,0.45,0.209,2.2,11.3,6.7,7.6,0.8,0.2,11.9,19.5,3.6,1.3,5.0,0.044,-0.6,-2.0,-2.6,-0.9
2 seasons,,IND,NBA,,161.0,5037.0,15.0,0.61,0.406,0.268,1.4,11.8,6.7,8.3,1.2,0.2,10.1,20.7,7.7,4.5,12.2,0.116,0.9,-0.9,0.0,2.5
3 seasons,,UTA,NBA,,146.0,4636.0,14.9,0.594,0.489,0.295,2.2,11.1,6.8,9.4,0.9,0.2,11.8,24.0,6.2,4.3,10.5,0.109,0.8,-1.2,-0.4,1.9
1 season,,WAS,NBA,,26.0,601.0,14.7,0.617,0.491,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.9,0.3,1.3,0.103,0.8,-2.0,-1.2,0.1
