No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Jabari Parker,F,6-8,245,"March 15, 1995",us,7,Duke
,Grant Williams,F,6-6,236,"November 30, 1998",us,2,Tennessee
,Josh Richardson,G,6-5,200,"September 15, 1993",us,6,Tennessee
,Dennis Schröder,G,6-3,172,"September 15, 1993",de,8,
,Al Horford,C-F,6-9,240,"June 3, 1986",do,14,Florida
,Jaylen Brown,F-G,6-6,223,"October 24, 1996",us,5,California
,Enes Kanter,C,6-10,250,"May 20, 1992",ch,10,
,Payton Pritchard,G,6-1,195,"January 28, 1998",us,1,Oregon
,Robert Williams,C-F,6-8,237,"October 17, 1997",us,3,Texas A&M
,Sam Hauser (TW),F,6-8,215,"December 8, 1997",us,R,"Marquette, Virginia"
,Aaron Nesmith,G-F,6-5,215,"October 16, 1999",us,1,Vanderbilt
,Marcus Smart,G,6-3,220,"March 6, 1994",us,7,Oklahoma State
,Theo Pinson,G,6-5,212,"November 5, 1995",us,3,UNC
,Jayson Tatum,F,6-8,210,"March 3, 1998",us,4,Duke
,Bruno Fernando,F,6-9,240,"August 15, 1998",ao,2,Maryland
,Garrison Mathews,G,6-5,215,"October 24, 1996",us,2,Lipscomb
,Juan Hernangómez,F,6-9,214,"September 28, 1995",es,5,
,Romeo Langford,G,6-4,216,"October 25, 1999",us,2,Indiana
,Ryan Arcidiacono,G,6-3,195,"March 26, 1994",us,4,Villanova
