Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,19.0,LAL,NBA,SF,79.0,2279.0,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1.0,0.7,-0.3,-0.007,-3.0,-1.4,-4.4,-1.4
2017-18,20.0,LAL,NBA,SF,59.0,1975.0,13.8,0.536,0.138,0.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,1.0,1.8,2.8,0.068,-0.9,-0.3,-1.2,0.4
2018-19,21.0,LAL,NBA,SF,52.0,1760.0,13.4,0.555,0.129,0.396,2.5,13.0,7.8,12.9,0.7,1.4,13.1,23.2,0.6,1.4,2.0,0.055,-1.3,-0.7,-2.0,0.0
2019-20,22.0,NOP,NBA,PF,62.0,2104.0,18.8,0.587,0.35,0.336,2.6,16.6,9.6,19.3,1.3,1.5,13.1,28.1,3.3,1.8,5.1,0.115,2.5,-0.4,2.1,2.2
2020-21,23.0,NOP,NBA,SF,61.0,2093.0,19.2,0.584,0.341,0.291,1.8,13.7,7.8,22.4,1.0,1.6,11.0,28.0,3.9,1.3,5.3,0.12,3.6,-1.4,2.2,2.2
2021-22,24.0,NOP,NBA,SF,8.0,284.0,17.3,0.535,0.237,0.185,2.2,18.1,9.8,25.8,0.3,1.3,12.2,31.9,0.2,0.0,0.2,0.026,1.6,-2.0,-0.4,0.1
Career,,,NBA,,321.0,10495.0,14.8,0.554,0.261,0.331,2.5,14.1,8.3,16.8,1.0,1.5,12.8,23.8,8.0,7.0,15.0,0.068,0.2,-0.9,-0.7,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,190.0,6014.0,11.7,0.523,0.177,0.361,2.8,13.1,7.9,13.6,1.0,1.5,13.5,20.4,0.6,3.9,4.5,0.036,-1.8,-0.9,-2.7,-1.0
3 seasons,,NOP,NBA,,131.0,4481.0,18.9,0.582,0.338,0.304,2.2,15.4,8.7,21.1,1.1,1.5,12.1,28.3,7.4,3.1,10.5,0.112,2.9,-1.0,2.0,4.5
