No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Blake Griffin,F,6-9,250,"March 16, 1989",us,11,Oklahoma
,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,R,UNC
,Brandon Rachal,G,6-6,218,"September 30, 1999",us,R,"LSU, Pearl River Community College, Tulsa"
,James Harden,G,6-5,220,"August 26, 1989",us,12,Arizona State
,David Duke,G,6-5,205,"October 13, 1999",us,R,Providence
,James Johnson,F,6-7,240,"February 20, 1987",us,12,Wake Forest
,Landry Shamet,G,6-4,190,"March 13, 1997",us,3,Wichita State
,Kessler Edwards (TW),F,6-8,215,"August 9, 2000",us,R,Pepperdine
,Cameron Thomas,G,6-4,210,"October 13, 2001",jp,R,LSU
,Nicolas Claxton,F,6-11,215,"April 17, 1999",us,2,Georgia
,LaMarcus Aldridge,F-C,6-11,250,"July 19, 1985",us,15,Texas
,Bruce Brown,G,6-4,202,"August 15, 1996",us,3,Miami (FL)
,Kevin Durant,F-G,6-10,240,"September 29, 1988",us,13,Texas
,Paul Millsap,F,6-7,257,"February 10, 1985",us,15,Louisiana Tech
,DeAndre' Bembry,F,6-5,210,"July 4, 1994",us,5,Saint Joseph's
,Kyrie Irving,G,6-2,195,"March 23, 1992",au,10,Duke
,Devontae Cacok,F,6-7,240,"October 8, 1996",us,2,UNC Wilmington
,Patty Mills,G,6-1,180,"August 11, 1988",au,12,Saint Mary's
,Joe Harris,G,6-6,220,"September 6, 1991",us,7,Virginia
,Jordan Bowden,G,6-5,193,"January 20, 1997",us,R,Tennessee
