Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,23.0,SAS,NBA,SG,36.0,285.0,5.9,0.462,0.535,0.061,0.8,8.2,4.6,11.7,0.2,0.0,9.8,17.9,-0.2,0.2,0.1,0.014,-3.9,-1.5,-5.4,-0.2
2017-18,24.0,SAS,NBA,SG,80.0,1517.0,9.1,0.525,0.459,0.145,0.9,7.2,4.0,7.8,0.9,0.1,6.5,16.7,0.8,1.3,2.1,0.067,-2.5,-0.6,-3.1,-0.4
2018-19,25.0,SAS,NBA,SG,82.0,2293.0,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,-0.3,-0.9,-1.2,0.5
2019-20,26.0,SAS,NBA,SG,63.0,1579.0,11.1,0.57,0.656,0.155,0.8,7.8,4.3,9.5,1.0,0.0,8.4,18.5,1.3,0.3,1.5,0.047,-0.6,-2.1,-2.7,-0.3
2020-21,27.0,MIL,NBA,SG,70.0,1354.0,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,0.096,0.4,-1.8,-1.4,0.2
2021-22,28.0,SAS,NBA,SG,14.0,166.0,6.8,0.533,0.556,0.063,0.6,7.8,4.1,5.7,0.9,0.0,15.6,19.7,-0.2,0.1,-0.1,-0.033,-3.9,-3.0,-6.9,-0.2
Career,,,NBA,,345.0,7194.0,11.0,0.573,0.567,0.121,0.9,8.5,4.7,8.6,0.9,0.1,8.2,17.8,6.1,4.0,10.1,0.067,-0.9,-1.4,-2.3,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,275.0,5840.0,10.6,0.559,0.547,0.123,0.8,8.7,4.8,9.5,0.9,0.1,8.4,17.6,4.2,3.2,7.4,0.061,-1.2,-1.2,-2.5,-0.7
1 season,,MIL,NBA,,70.0,1354.0,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,0.096,0.4,-1.8,-1.4,0.2
