,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,23.0,SAS,NBA,SG,36.0,0.0,7.9,1.0,2.8,0.364,0.5,1.5,0.321,0.5,1.3,0.413,0.449,0.1,0.2,0.833,0.1,0.6,0.6,0.6,0.0,0.0,0.3,0.6,2.6
1,2017-18,24.0,SAS,NBA,SG,80.0,12.0,19.0,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1.0,0.4,0.0,0.5,1.4,6.9
2,2018-19,25.0,SAS,NBA,SG,82.0,81.0,28.0,4.4,9.6,0.456,2.1,5.0,0.426,2.3,4.6,0.489,0.568,0.8,1.0,0.885,0.2,2.7,2.9,2.1,0.5,0.0,1.0,1.9,11.8
3,2019-20,26.0,SAS,NBA,SG,63.0,62.0,25.1,3.8,9.2,0.417,2.3,6.0,0.388,1.5,3.2,0.47,0.544,1.2,1.4,0.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
4,2020-21,27.0,MIL,NBA,SG,70.0,10.0,19.3,3.6,7.6,0.473,2.2,4.9,0.452,1.4,2.7,0.511,0.618,0.7,0.9,0.77,0.2,1.4,1.6,0.6,0.3,0.0,0.6,1.1,10.0
5,2021-22,28.0,SAS,NBA,SG,4.0,0.0,8.5,0.3,3.0,0.083,0.3,2.5,0.1,0.0,0.5,0.0,0.125,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.5,0.8
6,Career,,,NBA,,335.0,165.0,21.1,3.3,7.5,0.438,1.7,4.3,0.41,1.5,3.2,0.475,0.555,0.7,0.9,0.795,0.2,1.7,1.8,1.3,0.4,0.0,0.7,1.4,9.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5 seasons,,SAS,NBA,,265.0,155.0,21.5,3.2,7.5,0.429,1.6,4.1,0.397,1.6,3.4,0.467,0.538,0.7,0.9,0.801,0.2,1.7,1.9,1.5,0.4,0.0,0.7,1.5,8.8
9,1 season,,MIL,NBA,,70.0,10.0,19.3,3.6,7.6,0.473,2.2,4.9,0.452,1.4,2.7,0.511,0.618,0.7,0.9,0.77,0.2,1.4,1.6,0.6,0.3,0.0,0.6,1.1,10.0
