Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,22.0,POR,NBA,SG,38,476,9.0,0.521,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,0.019,-2.9,-0.6,-3.4,-0.2
2014-15,23.0,POR,NBA,SG,62,973,13.1,0.534,0.381,0.2,1.6,8.3,5.0,10.3,2.3,0.6,10.8,20.5,0.7,1.1,1.8,0.089,-1.3,0.8,-0.6,0.4
2015-16,24.0,POR,NBA,SG,80,2780,17.7,0.544,0.33,0.158,1.8,8.3,5.0,21.6,1.7,0.6,11.4,27.1,4.4,1.7,6.0,0.104,2.3,-1.0,1.3,2.3
2016-17,25.0,POR,NBA,SG,80,2796,19.9,0.585,0.305,0.204,2.4,9.1,5.7,18.0,1.3,1.2,9.9,27.5,6.2,1.4,7.6,0.131,3.4,-1.4,2.0,2.8
2017-18,26.0,POR,NBA,SG,81,2923,17.0,0.536,0.316,0.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,3.7,2.9,6.6,0.108,1.8,-0.5,1.2,2.4
2018-19,27.0,POR,NBA,SG,70,2375,17.0,0.553,0.358,0.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4.0,1.7,5.6,0.114,2.1,-1.0,1.0,1.8
2019-20,28.0,POR,NBA,SG,70,2556,17.0,0.541,0.378,0.136,1.9,10.2,6.1,19.1,1.0,1.4,8.1,25.9,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6
2020-21,29.0,POR,NBA,SG,47,1600,20.8,0.577,0.475,0.15,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,4.1,0.6,4.7,0.141,4.9,-1.5,3.3,2.1
2021-22,30.0,POR,NBA,SG,13,453,16.8,0.52,0.441,0.109,3.0,10.6,6.7,20.0,1.5,2.3,9.4,26.9,0.5,0.3,0.8,0.09,1.8,-1.6,0.2,0.2
Career,,,NBA,,541,16932,17.5,0.552,0.357,0.163,2.1,9.5,5.8,17.6,1.4,1.0,9.1,26.1,26.9,10.6,37.5,0.106,2.2,-1.1,1.2,13.5
