Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,21.0,OKC,NBA,PG,57.0,698.0,12.9,0.49,0.399,0.086,1.5,11.2,6.6,22.5,2.6,0.7,13.2,20.3,0.6,0.8,1.4,0.093,-1.3,0.6,-0.7,0.2
2016-17,22.0,TOT,NBA,PG,31.0,462.0,5.5,0.407,0.446,0.041,0.7,10.7,5.7,17.7,1.5,0.7,12.9,20.9,-0.8,0.4,-0.3,-0.035,-5.2,-0.9,-6.1,-0.5
2016-17,22.0,OKC,NBA,PG,20.0,320.0,6.1,0.402,0.4,0.031,0.7,10.1,5.4,18.3,1.5,1.0,10.8,19.6,-0.4,0.3,-0.1,-0.012,-4.8,-0.6,-5.3,-0.3
2016-17,22.0,CHI,NBA,PG,11.0,142.0,4.0,0.417,0.54,0.063,0.8,12.2,6.5,16.2,1.4,0.0,16.7,23.9,-0.4,0.1,-0.3,-0.086,-6.2,-1.5,-7.7,-0.2
2017-18,23.0,CHI,NBA,PG,25.0,582.0,14.0,0.498,0.423,0.074,3.2,9.8,6.4,29.9,2.2,1.4,14.0,19.3,0.3,0.4,0.8,0.063,-0.1,-0.3,-0.4,0.2
2018-19,24.0,TOT,NBA,PG,40.0,712.0,11.5,0.519,0.377,0.184,2.0,9.2,5.5,21.8,1.9,1.1,15.7,17.6,0.1,0.3,0.5,0.031,-2.3,-0.7,-3.0,-0.2
2018-19,24.0,CHI,NBA,PG,31.0,536.0,10.3,0.492,0.351,0.149,2.0,8.8,5.4,22.4,1.8,1.0,16.0,17.4,-0.1,0.3,0.2,0.014,-3.1,-0.7,-3.8,-0.2
2018-19,24.0,CLE,NBA,PG,9.0,176.0,15.3,0.596,0.455,0.291,1.8,10.6,6.0,20.0,2.3,1.5,15.1,18.1,0.2,0.1,0.3,0.082,0.1,-0.8,-0.7,0.1
2019-20,25.0,PHO,NBA,SG,8.0,183.0,15.7,0.612,0.426,0.103,2.4,16.6,9.4,19.5,2.1,1.0,13.4,19.1,0.3,0.2,0.5,0.12,0.5,1.0,1.5,0.2
2020-21,26.0,PHO,NBA,PG,60.0,1079.0,17.4,0.602,0.42,0.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,2.4,1.2,3.6,0.158,1.7,0.9,2.6,1.3
2021-22,27.0,PHO,NBA,PG,2.0,33.0,7.1,0.4,0.429,0.571,3.2,12.6,8.0,28.7,1.4,0.0,18.6,28.0,-0.1,0.0,-0.1,-0.09,-5.8,-3.2,-9.0,-0.1
Career,,,NBA,,223.0,3749.0,13.3,0.522,0.413,0.115,1.9,11.4,6.7,24.5,2.0,1.1,13.6,19.6,2.8,3.4,6.2,0.079,-0.9,0.1,-0.8,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,OKC,NBA,,77.0,1018.0,10.8,0.463,0.4,0.069,1.2,10.9,6.2,21.2,2.2,0.8,12.5,20.1,0.2,1.1,1.3,0.06,-2.4,0.3,-2.1,0.0
3 seasons,,PHO,NBA,,70.0,1295.0,16.9,0.596,0.421,0.149,1.8,13.7,7.8,26.9,1.7,1.2,12.9,19.9,2.5,1.4,3.9,0.146,1.3,0.8,2.1,1.4
3 seasons,,CHI,NBA,,67.0,1260.0,11.3,0.484,0.413,0.101,2.4,9.6,5.9,25.2,1.9,1.1,15.1,19.0,-0.2,0.9,0.7,0.025,-2.1,-0.6,-2.7,-0.2
1 season,,CLE,NBA,,9.0,176.0,15.3,0.596,0.455,0.291,1.8,10.6,6.0,20.0,2.3,1.5,15.1,18.1,0.2,0.1,0.3,0.082,0.1,-0.8,-0.7,0.1
