Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22.0,BRK,NBA,SF,57.0,26.0,21.7,3.0,6.7,0.45,1.0,3.2,0.321,2.0,3.4,0.571,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2
2017-18,23.0,BRK,NBA,SF,71.0,10.0,26.3,4.5,10.4,0.435,1.2,3.5,0.347,3.3,6.9,0.48,0.493,1.9,2.6,0.711,0.7,2.9,3.7,4.2,1.2,0.3,2.2,2.2,12.1
2018-19,24.0,BRK,NBA,SF,40.0,25.0,26.6,5.2,12.1,0.429,1.2,3.9,0.312,4.0,8.2,0.483,0.478,2.1,3.1,0.691,0.9,2.9,3.8,3.9,1.1,0.4,1.7,1.9,13.7
2019-20,25.0,BRK,NBA,SG,45.0,31.0,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1,11.4,0.451,0.48,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
2020-21,26.0,TOT,NBA,SG,47.0,39.0,31.6,7.6,17.3,0.441,1.8,5.5,0.326,5.9,11.8,0.495,0.493,3.1,3.8,0.811,0.7,3.9,4.6,5.2,1.4,0.6,2.2,2.2,20.2
2020-21,26.0,BRK,NBA,SG,12.0,4.0,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,0.49,2.2,2.8,0.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5
2020-21,26.0,IND,NBA,SG,35.0,35.0,32.9,7.8,17.5,0.443,1.8,5.6,0.318,6.0,12.0,0.501,0.493,3.4,4.2,0.822,0.7,4.0,4.6,4.9,1.5,0.7,2.2,2.4,20.7
2021-22,27.0,IND,NBA,SG,5.0,5.0,27.0,7.0,18.0,0.389,1.2,5.6,0.214,5.8,12.4,0.468,0.422,2.0,3.2,0.625,0.8,2.2,3.0,4.2,1.0,0.8,1.6,2.0,17.2
Career,,,NBA,,265.0,136.0,26.8,5.3,12.2,0.434,1.4,4.1,0.332,3.9,8.1,0.485,0.49,2.2,3.0,0.73,0.7,3.1,3.8,3.9,1.1,0.3,1.9,2.0,14.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BRK,NBA,,225.0,96.0,25.9,4.9,11.2,0.433,1.3,3.8,0.339,3.6,7.4,0.482,0.491,2.0,2.8,0.711,0.8,3.0,3.7,3.7,1.1,0.3,1.9,1.9,13.1
2 seasons,,IND,NBA,,40.0,40.0,32.2,7.7,17.6,0.436,1.7,5.6,0.305,6.0,12.0,0.497,0.484,3.3,4.1,0.802,0.7,3.8,4.4,4.9,1.5,0.7,2.1,2.4,20.3
