,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2003-04,19.0,DEN,NBA,SF,82.0,2995.0,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.0,1.5
1,2004-05,20.0,DEN,NBA,SF,75.0,2608.0,16.7,0.526,0.128,0.466,6.3,12.5,9.4,13.1,1.3,0.9,13.1,29.2,2.3,2.6,4.9,0.09,0.4,-1.6,-1.2,0.5
2,2005-06,21.0,DEN,NBA,SF,80.0,2941.0,22.0,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,6.8,2.6,9.4,0.153,3.5,-0.9,2.7,3.5
3,2006-07,22.0,DEN,NBA,SF,65.0,2486.0,22.1,0.552,0.103,0.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,5.2,2.1,7.3,0.14,3.2,-1.3,1.9,2.5
4,2007-08,23.0,DEN,NBA,SF,77.0,2806.0,21.1,0.568,0.111,0.398,7.0,14.9,11.0,16.1,1.7,1.0,12.7,30.2,5.2,3.0,8.2,0.14,2.5,-0.9,1.6,2.5
5,2008-09,24.0,DEN,NBA,SF,66.0,2277.0,19.0,0.532,0.141,0.388,5.6,17.0,11.5,18.1,1.7,0.8,12.3,31.5,2.4,2.6,5.0,0.105,1.5,-1.0,0.5,1.5
6,2009-10,25.0,DEN,NBA,SF,69.0,2634.0,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9
7,2010-11,26.0,TOT,NBA,SF,77.0,2751.0,21.7,0.557,0.167,0.403,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,5.4,2.5,7.9,0.138,3.2,-1.2,1.9,2.7
8,2010-11,26.0,DEN,NBA,SF,50.0,1774.0,21.2,0.547,0.13,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0,32.5,2.8,1.9,4.7,0.127,2.4,-1.0,1.4,1.5
9,2010-11,26.0,NYK,NBA,SF,27.0,977.0,22.8,0.575,0.233,0.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31.0,2.6,0.6,3.2,0.157,4.6,-1.7,2.9,1.2
10,2011-12,27.0,NYK,NBA,SF,55.0,1876.0,21.1,0.525,0.198,0.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,3.7,2.6,6.2,0.16,3.8,-0.2,3.6,2.7
11,2012-13,28.0,NYK,NBA,PF,67.0,2482.0,24.8,0.56,0.278,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,7.5,2.0,9.5,0.184,6.0,-1.7,4.3,3.9
12,2013-14,29.0,NYK,NBA,PF,77.0,2982.0,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,8.1,2.5,10.7,0.172,5.8,-0.8,5.0,5.3
13,2014-15,30.0,NYK,NBA,SF,40.0,1428.0,21.5,0.531,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,2.2,0.6,2.9,0.097,4.9,-1.9,3.0,1.8
14,2015-16,31.0,NYK,NBA,SF,72.0,2530.0,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,0.121,3.8,-0.5,3.3,3.4
15,2016-17,32.0,NYK,NBA,SF,74.0,2538.0,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7
16,2017-18,33.0,OKC,NBA,PF,78.0,2501.0,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0
17,2018-19,34.0,HOU,NBA,PF,10.0,294.0,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2.0,5.8,20.5,0.1,0.2,0.3,0.048,-1.3,-1.4,-2.7,-0.1
18,2019-20,35.0,POR,NBA,PF,58.0,1902.0,12.4,0.525,0.289,0.206,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8
19,2020-21,36.0,POR,NBA,PF,69.0,1690.0,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,0.073,0.1,-1.6,-1.5,0.2
20,2021-22,37.0,LAL,NBA,PF,5.0,139.0,13.6,0.579,0.536,0.179,3.0,11.1,7.1,5.0,1.0,1.8,9.0,19.8,0.2,0.0,0.2,0.066,-0.1,-2.8,-2.9,0.0
21,Career,,,NBA,,1196.0,41860.0,19.7,0.542,0.205,0.347,5.2,15.2,10.2,14.8,1.4,1.1,10.6,30.0,68.8,36.3,105.1,0.121,2.6,-1.2,1.4,35.8
22,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8 seasons,,DEN,NBA,,564.0,20521.0,20.2,0.544,0.121,0.41,6.2,13.5,9.9,15.5,1.6,0.9,11.8,31.2,33.9,19.5,53.5,0.125,2.4,-1.2,1.2,16.4
24,7 seasons,,NYK,NBA,,412.0,14813.0,21.8,0.545,0.252,0.319,4.9,17.3,11.0,17.2,1.4,1.2,9.7,31.7,31.3,12.3,43.6,0.141,4.5,-1.1,3.3,20.0
25,2 seasons,,POR,NBA,,127.0,3592.0,13.4,0.536,0.353,0.202,3.0,14.1,8.5,7.7,1.3,1.6,8.7,22.1,2.1,1.7,3.9,0.052,-0.9,-1.7,-2.6,-0.6
26,1 season,,OKC,NBA,,78.0,2501.0,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0
27,1 season,,HOU,NBA,,10.0,294.0,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2.0,5.8,20.5,0.1,0.2,0.3,0.048,-1.3,-1.4,-2.7,-0.1
28,1 season,,LAL,NBA,,5.0,139.0,13.6,0.579,0.536,0.179,3.0,11.1,7.1,5.0,1.0,1.8,9.0,19.8,0.2,0.0,0.2,0.066,-0.1,-2.8,-2.9,0.0
