No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Arnoldas Kulboka (TW),F,6-9,198,"January 4, 1998",lt,R,
,LaMelo Ball,G,6-6,180,"August 22, 2001",us,1,
,Miles Bridges,G-F,6-6,225,"March 21, 1998",us,3,Michigan State
,Scottie Lewis (TW),G,6-5,189,"March 12, 2000",us,R,Florida
,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us,1,Duke
,P.J. Washington,F,6-7,230,"August 23, 1998",us,2,Kentucky
,JT Thor,F,6-10,205,"August 26, 2002",us,R,Auburn
,Wesley Iwundu,F,6-6,195,"December 20, 1994",us,4,Kansas State
,Terry Rozier,G,6-1,190,"March 17, 1994",us,6,Louisville
,Ish Smith,G,6-0,175,"July 5, 1988",us,11,Wake Forest
,Mason Plumlee,C-F,6-11,254,"March 5, 1990",us,8,Duke
,Cody Martin,G-F,6-5,205,"September 28, 1995",us,2,"NC State, Nevada"
,Kelly Oubre Jr.,F,6-7,203,"December 9, 1995",us,6,Kansas
,James Bouknight,G,6-5,190,"September 18, 2000",us,R,UConn
,Jalen McDaniels,F,6-9,205,"January 31, 1998",us,2,San Diego State
,Jalen Crutcher,G,6-2,175,"July 18, 1999",us,R,Dayton
,Kai Jones,F-C,6-11,218,"January 19, 2001",bs,R,Texas
,Gordon Hayward,F-G,6-7,225,"March 23, 1990",us,11,Butler
,Cameron McGriff,F,6-7,230,"September 30, 1997",us,R,Oklahoma State
