Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,23.0,HOU,NBA,PG,7.0,0.0,4.7,0.3,1.1,0.25,0.3,0.7,0.4,0.0,0.4,0.0,0.375,0.0,0.0,,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.9
2019-20,24.0,TOT,NBA,PG,28.0,2.0,14.3,2.0,5.0,0.393,1.0,2.6,0.375,1.0,2.4,0.412,0.489,0.2,0.2,1.0,0.3,1.6,1.9,3.0,0.8,0.1,1.1,1.3,5.1
2019-20,24.0,WAS,NBA,PG,10.0,0.0,12.3,1.0,3.4,0.294,0.7,1.6,0.438,0.3,1.8,0.167,0.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
2019-20,24.0,BRK,NBA,PG,18.0,2.0,15.4,2.5,5.9,0.425,1.1,3.1,0.357,1.4,2.8,0.5,0.519,0.3,0.3,1.0,0.5,1.6,2.1,3.1,0.6,0.1,1.3,1.4,6.4
2020-21,25.0,BRK,NBA,PG,22.0,1.0,10.5,1.4,4.0,0.352,0.6,1.9,0.31,0.8,2.1,0.391,0.426,0.6,0.8,0.765,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,4.0
2021-22,26.0,GSW,NBA,PG,4.0,0.0,7.0,0.5,2.3,0.222,0.5,1.8,0.286,0.0,0.5,0.0,0.333,0.0,0.0,,0.3,0.8,1.0,0.8,0.5,0.0,0.8,0.5,1.5
Career,,,NBA,,61.0,3.0,11.4,1.5,4.0,0.367,0.7,2.1,0.349,0.8,2.0,0.387,0.457,0.3,0.4,0.818,0.2,1.2,1.4,2.5,0.5,0.2,0.9,1.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BRK,NBA,,40.0,3.0,12.8,1.9,4.9,0.392,0.8,2.5,0.337,1.1,2.4,0.448,0.477,0.5,0.6,0.818,0.3,1.3,1.6,3.0,0.5,0.2,1.0,1.1,5.1
1 season,,WAS,NBA,,10.0,0.0,12.3,1.0,3.4,0.294,0.7,1.6,0.438,0.3,1.8,0.167,0.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
1 season,,HOU,NBA,,7.0,0.0,4.7,0.3,1.1,0.25,0.3,0.7,0.4,0.0,0.4,0.0,0.375,0.0,0.0,,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.9
1 season,,GSW,NBA,,4.0,0.0,7.0,0.5,2.3,0.222,0.5,1.8,0.286,0.0,0.5,0.0,0.333,0.0,0.0,,0.3,0.8,1.0,0.8,0.5,0.0,0.8,0.5,1.5
