No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Lauri Markkanen,F-C,7-0,240,"May 22, 1997",fi,4,Arizona
,Dean Wade,F,6-9,228,"November 20, 1996",us,2,Kansas State
,Justin James,G,6-7,190,"January 24, 1997",us,2,Wyoming
,Kevin Love,F,6-8,251,"September 7, 1988",us,13,UCLA
,RJ Nembhard,G,6-5,200,"March 22, 1999",us,R,TCU
,Isaac Okoro,G-F,6-5,225,"January 26, 2001",us,1,Auburn
,Taurean Prince,F,6-7,218,"March 22, 1994",us,5,Baylor
,Mitch Ballock,G,6-5,205,"July 2, 1998",us,R,Creighton
,Isaiah Hartenstein,F,7-0,250,"May 5, 1998",us,3,
,Cedi Osman,F,6-7,230,"April 8, 1995",mk,4,
,Tacko Fall,C,7-5,311,"December 10, 1995",sn,2,Central Florida
,Lamar Stevens,F,6-6,230,"July 9, 1997",us,1,Penn State
,Collin Sexton,G,6-1,190,"January 4, 1999",us,3,Alabama
,Kevin Pangos,G,6-2,179,"January 26, 1993",ca,R,Gonzaga
,Evan Mobley,F-C,7-0,215,"June 18, 2001",us,R,USC
,Darius Garland,G,6-1,192,"January 26, 2000",us,2,Vanderbilt
,Denzel Valentine,G,6-4,220,"November 16, 1993",us,4,Michigan State
,Jarrett Allen,C-F,6-11,243,"April 21, 1998",us,4,Texas
,Dylan Windler,G-F,6-6,196,"September 22, 1996",us,1,Belmont
,Kyle Guy,G,6-1,167,"August 11, 1997",us,2,Virginia
