Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,20.0,HOU,NBA,C,12.0,90.0,12.1,0.409,0.0,0.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,-0.2,0.2,0.0,0.019,-5.3,0.0,-5.4,-0.1
2015-16,21.0,HOU,NBA,C,77.0,1471.0,18.3,0.553,0.003,0.531,14.4,22.7,18.5,5.1,2.0,5.2,10.9,16.1,2.4,2.0,4.4,0.144,-0.3,-0.1,-0.4,0.6
2016-17,22.0,HOU,NBA,C,65.0,1551.0,21.4,0.638,0.0,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12.0,19.9,3.8,2.1,5.9,0.184,1.3,-0.1,1.2,1.2
2017-18,23.0,HOU,NBA,C,74.0,2034.0,24.5,0.65,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,6.2,4.1,10.2,0.242,2.4,1.0,3.4,2.8
2018-19,24.0,HOU,NBA,C,67.0,2249.0,23.8,0.658,0.0,0.357,14.4,27.6,20.8,7.1,1.0,3.9,10.0,18.2,7.8,3.0,10.8,0.23,3.3,-0.3,3.0,2.8
2019-20,25.0,HOU,NBA,C,39.0,1279.0,20.6,0.626,0.0,0.268,13.6,30.5,22.0,5.7,1.2,4.8,12.7,16.1,2.8,2.1,4.9,0.184,1.0,0.4,1.4,1.1
2020-21,26.0,ATL,NBA,C,63.0,1898.0,24.3,0.601,0.0,0.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,0.207,2.7,-0.2,2.5,2.1
2021-22,27.0,ATL,NBA,C,21.0,622.0,22.5,0.593,0.005,0.26,14.4,30.9,22.8,5.9,1.7,4.5,5.3,15.8,1.9,0.9,2.8,0.217,2.1,0.1,2.2,0.7
Career,,,NBA,,418.0,11194.0,22.4,0.622,0.001,0.357,14.4,28.8,21.6,5.8,1.3,4.9,10.5,18.3,29.6,17.7,47.4,0.203,1.9,0.1,2.0,11.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,334.0,8674.0,22.0,0.629,0.001,0.371,13.7,27.4,20.5,6.1,1.3,4.7,11.3,18.1,22.9,13.5,36.4,0.201,1.7,0.2,1.9,8.5
2 seasons,,ATL,NBA,,84.0,2520.0,23.9,0.6,0.001,0.312,16.7,33.4,25.3,4.6,1.3,5.6,7.8,18.9,6.7,4.3,11.0,0.21,2.6,-0.1,2.5,2.8
