Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,20.0,SAS,NBA,PG,29.0,266.0,6.9,0.374,0.214,0.243,2.2,8.5,5.4,17.4,1.4,0.8,13.4,15.4,-0.2,0.2,0.0,0.001,-4.4,-0.6,-5.0,-0.2
2012-13,21.0,SAS,NBA,PG,28.0,388.0,13.5,0.528,0.191,0.191,3.8,11.3,7.7,20.2,2.0,0.7,15.0,16.6,0.4,0.5,0.9,0.113,-1.2,0.8,-0.4,0.2
2013-14,22.0,SAS,NBA,SG,68.0,936.0,14.7,0.558,0.143,0.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,1.6,1.3,2.9,0.148,-0.4,1.3,0.9,0.7
2014-15,23.0,SAS,NBA,PG,79.0,1444.0,15.5,0.564,0.107,0.348,3.5,11.4,7.5,19.7,1.6,0.9,12.4,17.0,2.7,1.8,4.5,0.149,0.2,1.3,1.4,1.2
2015-16,24.0,TOR,NBA,SG,80.0,2046.0,12.4,0.512,0.188,0.297,2.2,9.4,5.9,19.3,1.6,0.8,13.4,17.0,1.8,1.7,3.5,0.082,-1.1,-0.1,-1.2,0.4
2016-17,25.0,TOR,NBA,PG,80.0,2003.0,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,1.7,1.7,3.4,0.082,-0.9,-0.4,-1.3,0.4
2017-18,26.0,IND,NBA,PG,82.0,2210.0,11.0,0.503,0.315,0.156,2.0,11.4,6.7,16.1,1.8,0.7,11.9,14.8,1.2,2.0,3.1,0.068,-1.8,0.3,-1.5,0.3
2018-19,27.0,IND,NBA,PG,82.0,2063.0,11.0,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.1,1.7,-0.4,0.9
2019-20,28.0,SAC,NBA,PG,72.0,1759.0,10.1,0.517,0.386,0.17,2.7,9.4,6.0,19.1,1.5,1.1,15.3,12.9,1.2,1.1,2.3,0.062,-2.1,0.1,-2.0,0.0
2020-21,29.0,TOT,NBA,PG,63.0,1446.0,12.5,0.556,0.31,0.207,2.7,9.7,6.1,21.4,2.0,1.1,14.5,16.3,1.3,0.8,2.1,0.069,-1.9,-0.3,-2.1,-0.1
2020-21,29.0,SAC,NBA,PG,44.0,944.0,9.9,0.534,0.376,0.188,2.9,8.8,5.8,14.9,2.0,0.8,14.0,14.3,0.4,0.3,0.7,0.037,-3.0,-0.6,-3.7,-0.4
2020-21,29.0,DET,NBA,PG,19.0,502.0,17.3,0.588,0.216,0.233,2.2,11.2,6.6,33.7,2.1,1.6,15.3,19.9,0.8,0.5,1.4,0.13,0.3,0.5,0.8,0.4
2021-22,30.0,DET,NBA,PG,9.0,189.0,12.7,0.53,0.373,0.333,1.5,5.9,3.4,26.1,1.5,1.0,10.7,14.8,0.3,0.1,0.3,0.085,-2.7,0.4,-2.3,0.0
Career,,,NBA,,672.0,14750.0,12.2,0.519,0.25,0.214,2.6,10.5,6.6,19.3,1.8,0.9,13.1,15.8,12.4,14.1,26.5,0.086,-1.4,0.4,-1.0,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,204.0,3034.0,14.2,0.543,0.138,0.324,3.6,10.3,7.0,18.8,1.7,0.9,12.8,16.8,4.5,3.8,8.3,0.131,-0.6,1.1,0.5,1.9
2 seasons,,IND,NBA,,164.0,4273.0,11.0,0.489,0.313,0.119,2.1,12.0,7.1,18.3,2.0,0.8,12.1,14.3,1.7,4.9,6.6,0.074,-2.0,1.0,-1.0,1.1
2 seasons,,TOR,NBA,,160.0,4049.0,12.8,0.515,0.197,0.238,2.5,9.9,6.3,19.6,1.6,0.7,13.2,17.7,3.5,3.4,6.9,0.082,-1.0,-0.3,-1.2,0.8
2 seasons,,SAC,NBA,,116.0,2703.0,10.0,0.523,0.382,0.177,2.8,9.2,5.9,17.6,1.6,1.0,14.8,13.4,1.6,1.4,3.0,0.053,-2.4,-0.1,-2.6,-0.4
2 seasons,,DET,NBA,,28.0,691.0,16.0,0.574,0.251,0.256,2.0,9.8,5.8,31.6,2.0,1.4,14.3,18.5,1.1,0.6,1.7,0.117,-0.5,0.4,0.0,0.3
