Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,19.0,LAL,NBA,PG,80.0,2259.0,13.2,0.507,0.387,0.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,-0.7,0.7,0.0,0.001,-0.7,-1.6,-2.3,-0.1
2016-17,20.0,LAL,NBA,PG,63.0,1811.0,15.3,0.518,0.443,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,0.3,1.0,1.3,0.033,0.7,-1.5,-0.8,0.6
2017-18,21.0,BRK,NBA,PG,48.0,1234.0,15.2,0.509,0.414,0.195,2.6,13.8,8.1,35.7,1.4,1.0,16.8,30.8,-0.5,0.9,0.4,0.014,0.8,-2.0,-1.2,0.3
2018-19,22.0,BRK,NBA,PG,81.0,2448.0,19.4,0.533,0.419,0.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5.0,0.097,4.0,-0.6,3.4,3.4
2019-20,23.0,TOT,NBA,PG,45.0,1452.0,18.7,0.556,0.509,0.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,0.06,3.8,-1.9,1.9,1.4
2019-20,23.0,GSW,NBA,PG,33.0,1060.0,19.1,0.558,0.506,0.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,0.058,4.5,-1.9,2.6,1.2
2019-20,23.0,MIN,NBA,PG,12.0,392.0,17.6,0.553,0.521,0.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,0.064,1.8,-1.7,0.1,0.2
2020-21,24.0,MIN,NBA,PG,42.0,1196.0,17.6,0.555,0.475,0.229,1.4,8.9,5.0,33.6,1.8,1.3,13.5,29.1,1.0,0.6,1.6,0.063,3.0,-1.9,1.1,1.0
2021-22,25.0,MIN,NBA,PG,6.0,168.0,10.3,0.455,0.489,0.141,0.6,13.9,6.9,27.5,1.4,2.3,16.3,28.6,-0.3,0.2,-0.1,-0.03,-2.9,-2.2,-5.1,-0.1
Career,,,NBA,,365.0,10568.0,16.4,0.528,0.438,0.192,1.9,11.6,6.6,31.9,1.9,0.8,14.7,28.8,3.2,6.7,9.9,0.045,1.8,-1.4,0.4,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAL,NBA,,143.0,4070.0,14.1,0.512,0.414,0.207,2.0,11.5,6.6,23.7,2.2,0.6,15.8,25.2,-0.4,1.7,1.3,0.015,-0.1,-1.5,-1.6,0.4
2 seasons,,BRK,NBA,,129.0,3682.0,18.0,0.525,0.417,0.153,2.4,12.1,7.2,39.4,1.8,0.8,14.6,31.5,1.8,3.5,5.3,0.069,2.9,-1.0,1.9,3.6
3 seasons,,MIN,NBA,,60.0,1756.0,16.9,0.545,0.487,0.227,1.2,10.7,5.7,32.9,1.8,1.3,14.4,29.1,0.9,1.1,2.0,0.054,2.2,-1.9,0.3,1.0
1 season,,GSW,NBA,,33.0,1060.0,19.1,0.558,0.506,0.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,0.058,4.5,-1.9,2.6,1.2
