,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2016-17,21.0,GSW,NBA,C,10.0,85.0,5.3,0.466,0.0,0.625,12.4,17.0,14.8,0.0,0.6,3.7,22.7,13.4,-0.1,0.1,0.0,0.018,-7.7,-1.9,-9.7,-0.2
1,2017-18,22.0,GSW,NBA,C,15.0,89.0,6.8,0.517,0.0,0.227,6.8,10.6,8.8,2.9,0.5,2.7,14.2,13.9,0.0,0.1,0.1,0.031,-5.3,-1.8,-7.1,-0.1
2,2018-19,23.0,GSW,NBA,C,24.0,410.0,15.3,0.72,0.0,0.5,8.4,11.0,9.8,8.7,1.4,5.1,15.1,11.1,1.0,0.5,1.5,0.173,-0.6,1.7,1.1,0.3
3,2019-20,24.0,ATL,NBA,C,55.0,887.0,15.6,0.712,0.051,0.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,0.152,-1.6,0.1,-1.5,0.1
4,2020-21,25.0,TOT,NBA,C,39.0,547.0,14.6,0.712,0.049,0.563,7.3,17.4,12.3,7.0,1.0,4.6,16.8,12.3,1.0,0.5,1.6,0.138,-2.2,0.9,-1.4,0.1
5,2020-21,25.0,PHO,NBA,C,14.0,94.0,6.7,0.528,0.063,0.688,8.6,13.0,10.9,5.3,0.5,4.8,22.4,12.7,0.0,0.1,0.1,0.043,-7.2,1.1,-6.1,-0.1
6,2020-21,25.0,LAL,NBA,C,8.0,112.0,17.1,0.965,0.0,0.706,8.1,18.0,13.0,1.3,0.4,5.6,18.3,10.6,0.4,0.2,0.5,0.235,-1.6,1.8,0.2,0.1
7,2020-21,25.0,SAC,NBA,C,17.0,341.0,15.9,0.691,0.057,0.5,6.7,18.5,12.5,9.4,1.3,4.2,14.9,12.7,0.7,0.2,0.9,0.132,-1.1,0.5,-0.6,0.1
8,Career,,,NBA,,143.0,2018.0,14.4,0.693,0.036,0.494,8.4,15.3,11.8,6.3,1.2,4.2,14.3,11.7,4.1,1.8,5.9,0.141,-2.0,0.5,-1.5,0.3
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1 season,,ATL,NBA,,55.0,887.0,15.6,0.712,0.051,0.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,0.152,-1.6,0.1,-1.5,0.1
11,3 seasons,,GSW,NBA,,49.0,584.0,12.6,0.645,0.0,0.464,8.8,11.8,10.4,6.6,1.1,4.5,16.2,11.9,0.9,0.7,1.6,0.129,-2.3,0.6,-1.7,0.0
12,1 season,,SAC,NBA,,17.0,341.0,15.9,0.691,0.057,0.5,6.7,18.5,12.5,9.4,1.3,4.2,14.9,12.7,0.7,0.2,0.9,0.132,-1.1,0.5,-0.6,0.1
13,1 season,,PHO,NBA,,14.0,94.0,6.7,0.528,0.063,0.688,8.6,13.0,10.9,5.3,0.5,4.8,22.4,12.7,0.0,0.1,0.1,0.043,-7.2,1.1,-6.1,-0.1
14,1 season,,LAL,NBA,,8.0,112.0,17.1,0.965,0.0,0.706,8.1,18.0,13.0,1.3,0.4,5.6,18.3,10.6,0.4,0.2,0.5,0.235,-1.6,1.8,0.2,0.1
