,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,1998-99,22.0,TOT,NBA,PG,24.0,344.0,13.7,0.494,0.521,0.143,1.9,12.8,7.2,20.1,2.0,0.0,11.8,18.5,0.4,0.3,0.7,0.095,0.4,0.1,0.5,0.2
1,1998-99,22.0,NJN,NBA,PG,11.0,131.0,14.4,0.493,0.659,0.295,1.6,9.8,5.5,16.7,2.8,0.0,9.1,18.4,0.2,0.1,0.3,0.109,1.1,1.0,2.1,0.1
2,1998-99,22.0,BOS,NBA,PG,13.0,213.0,13.3,0.495,0.44,0.053,2.1,14.7,8.2,22.3,1.5,0.0,13.5,18.6,0.2,0.2,0.4,0.087,0.0,-0.5,-0.4,0.1
3,1999-00,23.0,TOT,NBA,PG,55.0,612.0,13.1,0.508,0.548,0.231,2.1,7.6,4.8,23.9,1.5,0.1,14.9,19.2,0.6,0.1,0.7,0.053,0.8,-1.8,-0.9,0.2
4,1999-00,23.0,GSW,NBA,PG,13.0,196.0,14.0,0.587,0.426,0.167,0.0,9.1,4.3,31.5,1.5,0.0,20.6,15.7,0.3,0.0,0.3,0.08,0.8,-1.0,-0.2,0.1
5,1999-00,23.0,DAL,NBA,PG,42.0,416.0,12.7,0.482,0.591,0.253,3.1,6.9,5.0,20.2,1.5,0.2,12.7,20.8,0.3,0.1,0.3,0.04,0.8,-2.1,-1.3,0.1
6,2000-01,24.0,VAN,NBA,PG,71.0,1415.0,13.0,0.525,0.555,0.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,1.4,0.4,1.8,0.062,0.7,-1.1,-0.3,0.6
7,2001-02,25.0,DET,NBA,PG,67.0,1083.0,11.2,0.548,0.655,0.208,1.4,9.7,5.6,20.9,1.1,0.1,16.4,16.1,1.1,0.8,1.9,0.084,-0.7,-1.0,-1.7,0.1
8,2002-03,26.0,SAC,NBA,PG,49.0,709.0,11.5,0.505,0.576,0.129,1.8,8.5,5.3,16.0,1.3,0.4,9.4,15.2,0.8,0.7,1.5,0.103,-0.2,0.1,-0.1,0.3
9,2003-04,27.0,MIL,NBA,PG,82.0,2016.0,14.2,0.516,0.521,0.137,0.8,8.7,4.8,36.7,0.8,0.1,15.6,14.8,3.6,0.3,3.9,0.093,2.0,-1.9,0.0,1.0
10,2004-05,28.0,MIA,NBA,PG,82.0,2576.0,15.5,0.625,0.718,0.118,0.7,9.5,5.2,21.0,0.9,0.1,11.4,15.6,6.5,2.3,8.7,0.162,3.3,-0.3,3.0,3.2
11,2005-06,29.0,CLE,NBA,PG,82.0,2089.0,9.3,0.538,0.756,0.102,0.8,6.8,3.8,12.6,0.9,0.0,9.7,12.6,2.2,1.1,3.4,0.077,-0.6,-0.5,-1.1,0.5
12,2006-07,30.0,CLE,NBA,PG,60.0,1173.0,10.2,0.525,0.651,0.124,0.9,5.8,3.3,12.7,0.7,0.1,8.8,15.9,1.2,1.1,2.4,0.097,-0.1,-0.4,-0.5,0.5
13,2007-08,31.0,CLE,NBA,SG,67.0,1336.0,11.3,0.582,0.76,0.077,0.4,5.9,3.1,15.1,0.8,0.1,8.8,14.0,2.4,0.7,3.0,0.108,0.6,-1.1,-0.4,0.5
14,2008-09,32.0,MIL,NBA,PG,18.0,108.0,6.2,0.485,0.824,0.0,0.0,6.9,3.3,9.8,1.4,0.0,15.0,16.6,-0.1,0.1,0.0,-0.007,-2.4,-1.6,-4.0,-0.1
15,Career,,,NBA,,657.0,13461.0,12.4,0.549,0.647,0.129,1.0,8.1,4.6,21.0,1.0,0.1,12.3,15.2,20.0,8.0,28.0,0.1,0.9,-0.9,0.1,7.1
16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3 seasons,,CLE,NBA,,209.0,4598.0,10.1,0.547,0.726,0.101,0.7,6.3,3.4,13.3,0.8,0.1,9.1,13.8,5.8,2.9,8.7,0.091,-0.1,-0.6,-0.7,1.5
18,2 seasons,,MIL,NBA,,100.0,2124.0,13.8,0.514,0.539,0.129,0.8,8.6,4.7,35.3,0.8,0.1,15.6,14.9,3.5,0.4,3.9,0.088,1.8,-1.9,-0.2,1.0
19,1 season,,MIA,NBA,,82.0,2576.0,15.5,0.625,0.718,0.118,0.7,9.5,5.2,21.0,0.9,0.1,11.4,15.6,6.5,2.3,8.7,0.162,3.3,-0.3,3.0,3.2
20,1 season,,VAN,NBA,,71.0,1415.0,13.0,0.525,0.555,0.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,1.4,0.4,1.8,0.062,0.7,-1.1,-0.3,0.6
21,1 season,,DET,NBA,,67.0,1083.0,11.2,0.548,0.655,0.208,1.4,9.7,5.6,20.9,1.1,0.1,16.4,16.1,1.1,0.8,1.9,0.084,-0.7,-1.0,-1.7,0.1
22,1 season,,SAC,NBA,,49.0,709.0,11.5,0.505,0.576,0.129,1.8,8.5,5.3,16.0,1.3,0.4,9.4,15.2,0.8,0.7,1.5,0.103,-0.2,0.1,-0.1,0.3
