Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,25.0,BOS,NBA,C,63.0,936.0,16.1,0.616,0.249,0.348,10.7,21.2,16.0,9.1,1.6,4.3,17.2,15.5,1.6,1.9,3.5,0.178,-2.0,2.3,0.3,0.5
2018-19,26.0,BOS,NBA,C,66.0,908.0,17.0,0.624,0.252,0.286,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.3,3.5,0.188,-0.8,0.9,0.0,0.5
2019-20,27.0,BOS,NBA,C,65.0,1566.0,17.9,0.631,0.225,0.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,4.0,2.6,6.5,0.201,0.6,1.8,2.4,1.7
2020-21,28.0,TOT,NBA,C,65.0,1601.0,15.0,0.609,0.326,0.236,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,2.4,1.8,4.3,0.128,-0.6,0.5,-0.2,0.7
2020-21,28.0,BOS,NBA,C,42.0,1027.0,15.0,0.625,0.33,0.233,5.8,18.1,11.9,9.3,1.2,3.9,11.4,15.0,1.7,1.2,2.9,0.134,-0.5,0.7,0.2,0.6
2020-21,28.0,CHI,NBA,C,23.0,574.0,14.9,0.584,0.32,0.242,7.6,18.5,13.1,10.0,1.4,2.1,11.3,16.8,0.7,0.7,1.4,0.116,-0.9,0.1,-0.8,0.2
2021-22,29.0,HOU,NBA,C,10.0,241.0,13.3,0.601,0.371,0.214,6.2,15.1,10.7,4.7,1.0,2.4,9.5,14.7,0.4,0.2,0.6,0.112,-1.3,-1.0,-2.2,0.0
Career,,,NBA,,269.0,5252.0,16.3,0.619,0.273,0.271,8.8,18.6,13.7,9.6,1.2,4.1,11.7,15.2,10.6,7.8,18.4,0.168,-0.6,1.2,0.6,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,236.0,4437.0,16.7,0.625,0.261,0.279,9.1,18.8,14.0,9.8,1.2,4.4,11.9,15.1,9.5,6.9,16.4,0.178,-0.5,1.4,0.9,3.3
1 season,,CHI,NBA,,23.0,574.0,14.9,0.584,0.32,0.242,7.6,18.5,13.1,10.0,1.4,2.1,11.3,16.8,0.7,0.7,1.4,0.116,-0.9,0.1,-0.8,0.2
1 season,,HOU,NBA,,10.0,241.0,13.3,0.601,0.371,0.214,6.2,15.1,10.7,4.7,1.0,2.4,9.5,14.7,0.4,0.2,0.6,0.112,-1.3,-1.0,-2.2,0.0
