Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,25.0,BOS,NBA,C,63.0,3.0,14.9,2.0,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,1.0,1.3,0.753,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,5.3
2018-19,26.0,BOS,NBA,C,66.0,2.0,13.8,2.2,4.0,0.549,0.4,1.0,0.388,1.8,3.0,0.603,0.598,0.8,1.2,0.737,1.3,2.1,3.4,1.0,0.3,0.6,0.5,2.4,5.7
2019-20,27.0,BOS,NBA,C,65.0,64.0,24.1,3.7,6.6,0.566,0.5,1.5,0.333,3.2,5.1,0.633,0.603,1.3,1.8,0.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.2
2020-21,28.0,TOT,NBA,C,65.0,51.0,24.6,3.9,7.2,0.541,0.8,2.3,0.322,3.1,4.8,0.646,0.593,1.1,1.7,0.673,1.4,4.0,5.5,1.7,0.6,0.9,1.0,2.6,9.6
2020-21,28.0,BOS,NBA,C,42.0,37.0,24.5,3.8,6.9,0.552,0.8,2.3,0.347,3.0,4.6,0.653,0.609,1.1,1.6,0.687,1.3,4.0,5.2,1.6,0.6,1.0,1.0,2.9,9.5
2020-21,28.0,CHI,NBA,C,23.0,14.0,25.0,4.0,7.7,0.522,0.7,2.5,0.281,3.3,5.3,0.636,0.567,1.2,1.9,0.651,1.7,4.2,5.9,1.8,0.7,0.6,1.1,2.0,10.0
2021-22,29.0,HOU,NBA,C,6.0,6.0,22.0,2.7,6.3,0.421,0.7,2.7,0.25,2.0,3.7,0.545,0.474,1.5,1.8,0.818,1.3,3.7,5.0,0.5,0.0,0.3,0.3,2.5,7.5
Career,,,NBA,,265.0,126.0,19.4,2.9,5.4,0.547,0.5,1.5,0.332,2.5,3.9,0.627,0.592,1.1,1.5,0.732,1.6,3.4,4.9,1.3,0.5,0.9,0.8,2.7,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,236.0,106.0,18.8,2.8,5.1,0.554,0.5,1.3,0.345,2.4,3.8,0.628,0.599,1.1,1.4,0.74,1.6,3.3,4.9,1.3,0.5,0.9,0.8,2.8,7.2
1 season,,CHI,NBA,,23.0,14.0,25.0,4.0,7.7,0.522,0.7,2.5,0.281,3.3,5.3,0.636,0.567,1.2,1.9,0.651,1.7,4.2,5.9,1.8,0.7,0.6,1.1,2.0,10.0
1 season,,HOU,NBA,,6.0,6.0,22.0,2.7,6.3,0.421,0.7,2.7,0.25,2.0,3.7,0.545,0.474,1.5,1.8,0.818,1.3,3.7,5.0,0.5,0.0,0.3,0.3,2.5,7.5
