Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009-10,22.0,CLE,NBA,SG,20.0,115.0,12.3,0.48,0.564,0.154,8.7,8.9,8.8,6.7,2.7,2.0,10.7,18.9,0.0,0.2,0.2,0.083,-0.9,0.7,-0.2,0.1
2010-11,23.0,SAS,NBA,SG,8.0,92.0,13.2,0.586,0.543,0.0,3.9,14.8,9.5,3.6,1.1,0.8,12.5,20.0,0.0,0.1,0.1,0.076,0.1,-0.7,-0.6,0.0
2011-12,24.0,SAS,NBA,SG,66.0,1522.0,15.5,0.579,0.491,0.21,4.2,12.9,8.6,8.3,2.0,2.2,11.4,17.6,2.5,2.0,4.5,0.142,1.8,1.2,3.0,1.9
2012-13,25.0,SAS,NBA,SG,80.0,2201.0,14.1,0.6,0.623,0.119,2.0,10.3,6.4,9.5,2.1,1.8,11.9,16.6,2.6,3.2,5.9,0.128,1.4,1.4,2.8,2.7
2013-14,26.0,SAS,NBA,SG,68.0,1651.0,13.9,0.58,0.63,0.125,1.8,13.4,7.8,8.9,2.0,2.7,12.5,16.7,1.4,2.8,4.2,0.122,1.2,2.0,3.2,2.2
2014-15,27.0,SAS,NBA,SG,81.0,2312.0,16.5,0.596,0.619,0.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,4.0,3.9,7.8,0.163,2.6,2.0,4.6,3.8
2015-16,28.0,SAS,NBA,SG,79.0,2062.0,10.5,0.492,0.622,0.082,2.7,13.6,8.4,9.3,2.0,2.4,11.4,14.6,0.2,4.1,4.2,0.099,-1.0,2.1,1.1,1.6
2016-17,29.0,SAS,NBA,SG,68.0,1807.0,10.1,0.537,0.693,0.071,2.0,11.8,7.0,9.6,2.0,2.6,14.1,13.5,0.4,3.0,3.4,0.09,-1.0,1.9,0.8,1.3
2017-18,30.0,SAS,NBA,SG,70.0,1791.0,11.4,0.509,0.57,0.116,2.5,13.0,7.7,8.9,1.8,3.7,11.2,16.6,0.1,2.9,2.9,0.078,-1.0,1.4,0.4,1.1
2018-19,31.0,TOR,NBA,SG,80.0,2216.0,13.0,0.632,0.69,0.07,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,3.0,2.9,5.9,0.128,1.1,0.8,2.0,2.2
2019-20,32.0,LAL,NBA,SG,68.0,1687.0,10.8,0.552,0.69,0.101,3.3,11.2,7.3,7.1,2.4,1.7,11.3,13.9,0.8,2.5,3.4,0.096,-1.1,1.5,0.5,1.1
2020-21,33.0,PHI,NBA,SF,69.0,1934.0,12.1,0.582,0.794,0.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14.0,1.6,3.1,4.6,0.115,0.2,1.2,1.5,1.7
2021-22,34.0,PHI,NBA,SF,7.0,163.0,12.2,0.676,0.941,0.0,1.4,11.2,6.6,4.0,2.5,3.2,10.5,10.6,0.2,0.2,0.4,0.117,0.0,-0.3,-0.4,0.1
Career,,,NBA,,764.0,19553.0,12.8,0.569,0.643,0.114,2.7,12.4,7.7,8.8,2.0,2.4,11.4,15.5,17.0,30.7,47.6,0.117,0.5,1.5,2.0,19.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,SAS,NBA,,520.0,13438.0,13.2,0.559,0.607,0.128,2.5,12.7,7.8,9.3,2.0,2.6,11.7,16.2,11.3,21.8,33.1,0.118,0.6,1.7,2.3,14.6
1 season,,TOR,NBA,,80.0,2216.0,13.0,0.632,0.69,0.07,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,3.0,2.9,5.9,0.128,1.1,0.8,2.0,2.2
2 seasons,,PHI,NBA,,76.0,2097.0,12.1,0.588,0.803,0.069,3.1,11.4,7.3,7.9,2.3,2.6,10.7,13.7,1.8,3.2,5.0,0.115,0.2,1.1,1.3,1.7
1 season,,LAL,NBA,,68.0,1687.0,10.8,0.552,0.69,0.101,3.3,11.2,7.3,7.1,2.4,1.7,11.3,13.9,0.8,2.5,3.4,0.096,-1.1,1.5,0.5,1.1
1 season,,CLE,NBA,,20.0,115.0,12.3,0.48,0.564,0.154,8.7,8.9,8.8,6.7,2.7,2.0,10.7,18.9,0.0,0.2,0.2,0.083,-0.9,0.7,-0.2,0.1
