Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,23.0,WAS,NBA,SG,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,24.0,PHO,NBA,SG,23.0,3.0,17.5,2.4,5.6,0.434,0.7,2.5,0.259,1.8,3.1,0.577,0.492,1.1,1.3,0.806,0.6,2.7,3.3,1.1,0.3,0.3,0.5,1.0,6.6
2018-19,25.0,HOU,NBA,SF,39.0,13.0,25.1,3.0,6.5,0.468,1.9,4.6,0.416,1.1,1.9,0.595,0.615,1.4,1.8,0.789,0.6,2.9,3.6,1.0,0.5,0.3,0.9,2.1,9.4
2019-20,26.0,HOU,NBA,SF,63.0,52.0,30.4,3.7,8.6,0.427,2.0,5.6,0.363,1.6,2.9,0.549,0.546,1.2,1.4,0.811,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5
2020-21,27.0,HOU,NBA,SF,36.0,23.0,25.9,3.1,7.6,0.404,1.5,4.3,0.346,1.6,3.2,0.483,0.504,1.1,1.8,0.651,0.5,3.2,3.7,1.9,0.6,0.4,1.0,1.9,8.8
2021-22,28.0,HOU,NBA,SF,13.0,1.0,13.6,1.6,4.6,0.35,0.8,2.1,0.37,0.8,2.5,0.333,0.433,0.8,1.0,0.846,0.2,2.7,2.9,0.8,0.4,0.3,0.8,0.9,4.8
Career,,,NBA,,175.0,92.0,25.2,3.1,7.2,0.427,1.6,4.4,0.364,1.4,2.7,0.529,0.54,1.2,1.5,0.769,0.7,3.1,3.7,1.3,0.7,0.4,0.8,1.8,8.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,151.0,89.0,26.5,3.2,7.4,0.427,1.8,4.7,0.373,1.4,2.7,0.521,0.545,1.2,1.6,0.764,0.7,3.1,3.8,1.4,0.7,0.4,0.9,1.9,9.3
1 season,,PHO,NBA,,23.0,3.0,17.5,2.4,5.6,0.434,0.7,2.5,0.259,1.8,3.1,0.577,0.492,1.1,1.3,0.806,0.6,2.7,3.3,1.1,0.3,0.3,0.5,1.0,6.6
1 season,,WAS,NBA,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
