,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2012-13,22.0,NOH,NBA,SF,52.0,2.0,13.3,0.8,2.1,0.407,0.4,1.1,0.393,0.4,1.0,0.423,0.509,0.2,0.2,1.0,0.2,1.3,1.5,0.8,0.3,0.2,0.4,1.7,2.3
1,2013-14,23.0,NOP,NBA,SF,45.0,7.0,16.1,1.6,3.7,0.44,0.6,1.7,0.325,1.1,2.0,0.539,0.515,0.6,0.8,0.806,0.2,1.0,1.2,1.0,0.5,0.2,0.5,2.0,4.4
2,2014-15,24.0,NOP,NBA,SF,5.0,1.0,8.6,0.2,1.4,0.143,0.0,0.2,0.0,0.2,1.2,0.167,0.143,0.0,0.0,,0.0,0.2,0.2,0.4,0.2,0.0,0.2,1.6,0.4
3,2017-18,27.0,NOP,NBA,SF,82.0,3.0,23.7,2.6,5.9,0.444,1.8,4.4,0.411,0.8,1.6,0.535,0.594,0.7,0.8,0.866,0.2,1.8,2.0,1.4,0.3,0.2,0.7,2.0,7.8
4,2018-19,28.0,NOP,NBA,SF,69.0,15.0,25.5,2.7,7.0,0.39,1.9,5.3,0.365,0.8,1.7,0.467,0.528,0.8,1.0,0.789,0.2,1.7,1.9,2.1,0.6,0.3,0.9,2.4,8.2
5,2020-21,30.0,OKC,NBA,SF,18.0,0.0,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1.0,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
6,Career,,,NBA,,271.0,28.0,19.8,2.0,4.8,0.419,1.3,3.3,0.383,0.7,1.5,0.5,0.552,0.6,0.7,0.84,0.2,1.5,1.6,1.4,0.5,0.2,0.6,1.9,5.9
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5 seasons,,"NOH,NOP",NBA,,253.0,28.0,20.4,2.1,4.9,0.418,1.3,3.4,0.382,0.8,1.6,0.495,0.548,0.6,0.7,0.83,0.2,1.5,1.7,1.4,0.4,0.2,0.6,2.0,6.0
9,1 season,,OKC,NBA,,18.0,0.0,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1.0,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
