Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008-09,20.0,LAC,NBA,C,53.0,771.0,14.1,0.585,0.0,0.741,10.5,25.5,17.8,2.3,0.7,5.7,17.4,13.9,0.4,0.9,1.3,0.079,-3.2,-0.1,-3.3,-0.3
2009-10,21.0,LAC,NBA,C,70.0,1137.0,12.7,0.571,0.008,0.538,12.4,23.6,17.9,2.9,0.7,4.0,20.3,14.7,0.2,1.2,1.5,0.061,-3.5,-0.3,-3.8,-0.5
2010-11,22.0,LAC,NBA,C,80.0,2047.0,14.8,0.648,0.003,0.636,11.9,20.9,16.5,3.2,1.0,5.4,18.8,11.7,2.6,2.6,5.2,0.122,-1.7,1.0,-0.7,0.7
2011-12,23.0,LAC,NBA,C,66.0,1798.0,16.4,0.626,0.003,0.433,13.2,23.0,18.1,1.5,0.9,6.2,16.0,11.9,3.2,2.4,5.6,0.15,-0.4,0.4,0.1,0.9
2012-13,24.0,LAC,NBA,C,82.0,2010.0,17.2,0.606,0.0,0.51,12.7,22.4,17.6,2.2,1.3,4.7,14.3,15.9,3.0,3.2,6.2,0.148,-0.1,-0.2,-0.2,0.9
2013-14,25.0,LAC,NBA,C,82.0,2870.0,18.2,0.63,0.0,0.726,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,5.3,5.8,11.1,0.186,0.9,1.6,2.5,3.3
2014-15,26.0,LAC,NBA,C,82.0,2820.0,21.0,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,2.2,0.7,2.9,3.5
2015-16,27.0,LAC,NBA,C,77.0,2598.0,20.6,0.628,0.002,1.219,11.4,32.7,22.2,5.3,1.0,5.4,12.1,15.4,6.0,5.5,11.5,0.213,1.5,1.3,2.8,3.2
2016-17,28.0,LAC,NBA,C,81.0,2570.0,21.8,0.673,0.003,0.737,13.3,34.6,24.2,5.7,1.0,4.3,13.1,15.3,7.2,4.6,11.8,0.221,2.5,0.9,3.3,3.5
2017-18,29.0,LAC,NBA,C,77.0,2424.0,20.2,0.648,0.0,0.54,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,6.0,3.4,9.4,0.186,1.7,-0.3,1.4,2.1
2018-19,30.0,TOT,NBA,C,69.0,2047.0,19.0,0.674,0.0,0.592,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.167,0.8,1.3,2.1,2.1
2018-19,30.0,DAL,NBA,C,50.0,1554.0,18.0,0.672,0.0,0.613,11.2,35.9,23.6,9.5,1.0,2.9,21.3,14.4,2.7,2.5,5.3,0.162,0.4,1.3,1.7,1.4
2018-19,30.0,NYK,NBA,C,19.0,493.0,22.1,0.681,0.0,0.537,13.3,33.0,22.9,18.2,0.9,3.4,21.6,16.8,1.3,0.6,1.9,0.181,2.2,1.3,3.4,0.7
2019-20,31.0,BRK,NBA,C,56.0,1234.0,19.9,0.682,0.0,0.425,12.1,34.5,23.5,12.6,0.7,3.5,17.8,14.1,3.0,2.2,5.2,0.2,1.2,1.8,3.0,1.5
2020-21,32.0,BRK,NBA,C,57.0,1246.0,17.1,0.736,0.004,0.369,10.9,26.1,18.9,10.1,0.7,4.6,22.7,13.1,2.4,1.5,3.9,0.152,0.0,0.7,0.7,0.8
2021-22,33.0,LAL,NBA,C,19.0,272.0,19.2,0.712,0.0,0.159,13.2,31.9,22.7,4.4,1.2,5.6,19.2,13.1,0.6,0.5,1.0,0.181,-0.8,0.1,-0.7,0.1
Career,,,NBA,,951.0,25844.0,18.5,0.644,0.002,0.667,13.0,29.9,21.6,5.3,1.0,4.6,16.1,14.0,51.3,42.3,93.5,0.174,0.6,0.7,1.3,21.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,LAC,NBA,,750.0,21045.0,18.5,0.633,0.003,0.716,13.3,29.3,21.4,4.0,1.1,4.8,14.9,14.0,41.3,35.0,76.3,0.174,0.6,0.6,1.2,17.2
2 seasons,,BRK,NBA,,113.0,2480.0,18.5,0.707,0.002,0.399,11.5,30.3,21.2,11.3,0.7,4.1,20.1,13.6,5.4,3.7,9.1,0.176,0.6,1.3,1.8,2.4
1 season,,DAL,NBA,,50.0,1554.0,18.0,0.672,0.0,0.613,11.2,35.9,23.6,9.5,1.0,2.9,21.3,14.4,2.7,2.5,5.3,0.162,0.4,1.3,1.7,1.4
1 season,,LAL,NBA,,19.0,272.0,19.2,0.712,0.0,0.159,13.2,31.9,22.7,4.4,1.2,5.6,19.2,13.1,0.6,0.5,1.0,0.181,-0.8,0.1,-0.7,0.1
1 season,,NYK,NBA,,19.0,493.0,22.1,0.681,0.0,0.537,13.3,33.0,22.9,18.2,0.9,3.4,21.6,16.8,1.3,0.6,1.9,0.181,2.2,1.3,3.4,0.7
